YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"PRODN PRACTICE","AREA HARVESTED in ACRES","AREA PLANTED in ACRES","PRODUCTION in BU","YIELD in BU / ACRE"
2000,"ILLINOIS, EAST SOUTHEAST, MOULTRIE",17,70,139,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","84,900","85,000","4,075,200",48
2000,"ILLINOIS, EAST SOUTHEAST, RICHLAND",17,70,159,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","95,000","98,000","3,990,000",42
2000,"ILLINOIS, EAST SOUTHEAST, SHELBY",17,70,173,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","165,700","166,000","7,787,900",47
2000,"ILLINOIS, EAST, CHAMPAIGN",17,50,019,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","265,800","266,000","12,492,600",47
2000,"ILLINOIS, EAST, FORD",17,50,053,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","134,900","135,000","5,665,800",42
2000,"ILLINOIS, EAST, IROQUOIS",17,50,075,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","287,300","288,000","12,641,200",44
2000,"ILLINOIS, EAST, KANKAKEE",17,50,091,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","147,800","148,000","6,503,200",44
2000,"ILLINOIS, EAST, LIVINGSTON",17,50,105,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","292,600","293,000","12,874,400",44
2000,"ILLINOIS, EAST, PIATT",17,50,147,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","119,800","120,000","5,990,000",50
2000,"ILLINOIS, EAST, VERMILION",17,50,183,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","217,800","218,000","9,801,000",45
2000,"ILLINOIS, NORTHEAST, BOONE",17,20,007,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","56,800","57,000","2,044,800",36
2000,"ILLINOIS, NORTHEAST, COOK",17,20,031,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","8,900","9,000","240,300",27
2000,"ILLINOIS, NORTHEAST, DE KALB",17,20,037,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","138,400","139,000","6,228,000",45
2000,"ILLINOIS, NORTHEAST, DU PAGE",17,20,043,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","3,300","4,000","102,300",31
2000,"ILLINOIS, NORTHEAST, GRUNDY",17,20,063,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","95,700","96,000","4,306,500",45
2000,"ILLINOIS, NORTHEAST, KANE",17,20,089,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","68,700","69,000","2,679,300",39
2000,"ILLINOIS, NORTHEAST, KENDALL",17,20,093,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","71,800","72,000","2,943,800",41
2000,"ILLINOIS, NORTHEAST, LA SALLE",17,20,099,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","253,300","254,000","11,398,500",45
2000,"ILLINOIS, NORTHEAST, LAKE",17,20,097,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","16,900","17,000","388,700",23
2000,"ILLINOIS, NORTHEAST, MCHENRY",17,20,111,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","72,500","73,000","2,175,000",30
2000,"ILLINOIS, NORTHEAST, WILL",17,20,197,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","121,700","122,000","4,746,300",39
2000,"ILLINOIS, NORTHWEST, BUREAU",17,10,011,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","179,500","180,000","8,616,000",48
2000,"ILLINOIS, NORTHWEST, CARROLL",17,10,015,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","52,800","53,000","2,587,200",49
2000,"ILLINOIS, NORTHWEST, HENRY",17,10,073,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","177,700","178,000","8,529,600",48
2000,"ILLINOIS, NORTHWEST, JO DAVIESS",17,10,085,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","37,900","38,000","1,819,200",48
2000,"ILLINOIS, NORTHWEST, LEE",17,10,103,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","152,600","153,000","7,019,600",46
2000,"ILLINOIS, NORTHWEST, MERCER",17,10,131,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","108,600","109,000","5,212,800",48
2000,"ILLINOIS, NORTHWEST, OGLE",17,10,141,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","120,500","121,000","5,181,500",43
2000,"ILLINOIS, NORTHWEST, PUTNAM",17,10,155,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","29,900","30,000","1,435,200",48
2000,"ILLINOIS, NORTHWEST, ROCK ISLAND",17,10,161,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","54,700","55,000","2,461,500",45
2000,"ILLINOIS, NORTHWEST, STEPHENSON",17,10,177,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","79,300","80,000","3,489,200",44
2000,"ILLINOIS, NORTHWEST, WHITESIDE",17,10,195,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","121,000","122,000","5,445,000",45
2000,"ILLINOIS, NORTHWEST, WINNEBAGO",17,10,201,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","63,500","64,000","2,349,500",37
2000,"ILLINOIS, SOUTHEAST, EDWARDS",17,90,047,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","38,900","39,000","1,711,600",44
2000,"ILLINOIS, SOUTHEAST, FRANKLIN",17,90,055,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","69,500","70,000","2,502,000",36
2000,"ILLINOIS, SOUTHEAST, GALLATIN",17,90,059,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","63,900","64,000","2,619,900",41
2000,"ILLINOIS, SOUTHEAST, HAMILTON",17,90,065,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","79,200","80,000","3,009,600",38
2000,"ILLINOIS, SOUTHEAST, HARDIN",17,90,069,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","3,900","4,000","163,800",42
2000,"ILLINOIS, SOUTHEAST, JEFFERSON",17,90,081,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","80,500","82,000","3,059,000",38
2000,"ILLINOIS, SOUTHEAST, MASSAC",17,90,127,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","35,800","36,000","1,217,200",34
2000,"ILLINOIS, SOUTHEAST, POPE",17,90,151,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","8,900","9,000","240,300",27
2000,"ILLINOIS, SOUTHEAST, SALINE",17,90,165,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","49,600","50,000","1,984,000",40
2000,"ILLINOIS, SOUTHEAST, WABASH",17,90,185,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","53,900","54,000","2,209,900",41
2000,"ILLINOIS, SOUTHEAST, WAYNE",17,90,191,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","124,700","128,000","4,863,300",39
2000,"ILLINOIS, SOUTHEAST, WHITE",17,90,193,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","109,200","112,000","4,258,800",39
2000,"ILLINOIS, SOUTHWEST, ALEXANDER",17,80,003,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","33,900","34,000","1,254,300",37
2000,"ILLINOIS, SOUTHWEST, CLINTON",17,80,027,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","90,400","92,000","3,525,600",39
2000,"ILLINOIS, SOUTHWEST, JACKSON",17,80,077,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","75,900","76,000","2,960,100",39
2000,"ILLINOIS, SOUTHWEST, JOHNSON",17,80,087,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","14,900","15,000","536,400",36
2000,"ILLINOIS, SOUTHWEST, MONROE",17,80,133,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","73,900","74,000","3,029,900",41
2000,"ILLINOIS, SOUTHWEST, PERRY",17,80,145,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","71,700","72,000","2,437,800",34
2000,"ILLINOIS, SOUTHWEST, PULASKI",17,80,153,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","32,900","33,000","1,085,700",33
2000,"ILLINOIS, SOUTHWEST, RANDOLPH",17,80,157,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","97,100","98,000","3,592,700",37
2000,"ILLINOIS, SOUTHWEST, ST CLAIR",17,80,163,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","118,900","119,000","4,874,900",41
2000,"ILLINOIS, SOUTHWEST, UNION",17,80,181,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","26,200","27,000","969,400",37
2000,"ILLINOIS, SOUTHWEST, WASHINGTON",17,80,189,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","135,300","137,000","5,006,100",37
2000,"ILLINOIS, SOUTHWEST, WILLIAMSON",17,80,199,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","24,900","25,000","946,200",38
2000,"ILLINOIS, WEST SOUTHWEST, BOND",17,60,005,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","79,500","81,000","2,862,000",36
2000,"ILLINOIS, WEST SOUTHWEST, CALHOUN",17,60,013,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","19,900","20,000","835,800",42
2000,"ILLINOIS, WEST SOUTHWEST, CASS",17,60,017,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","64,900","65,000","2,790,700",43
2000,"ILLINOIS, WEST SOUTHWEST, CHRISTIAN",17,60,021,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","178,700","179,000","8,756,300",49
2000,"ILLINOIS, WEST SOUTHWEST, GREENE",17,60,061,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","105,800","106,000","5,078,400",48
2000,"ILLINOIS, WEST SOUTHWEST, JERSEY",17,60,083,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","58,900","59,000","2,768,300",47
2000,"ILLINOIS, WEST SOUTHWEST, MACOUPIN",17,60,117,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","158,100","159,000","7,272,600",46
2000,"ILLINOIS, WEST SOUTHWEST, MADISON",17,60,119,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","126,500","128,000","5,060,000",40
2000,"ILLINOIS, WEST SOUTHWEST, MONTGOMERY",17,60,135,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","155,300","156,000","6,677,900",43
2000,"ILLINOIS, WEST SOUTHWEST, MORGAN",17,60,137,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","121,800","122,000","5,724,600",47
2000,"ILLINOIS, WEST SOUTHWEST, PIKE",17,60,149,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","108,900","109,000","4,682,700",43
2000,"ILLINOIS, WEST SOUTHWEST, SANGAMON",17,60,167,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","194,800","195,000","9,350,400",48
2000,"ILLINOIS, WEST SOUTHWEST, SCOTT",17,60,171,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","44,900","45,000","2,065,400",46
2000,"ILLINOIS, WEST, ADAMS",17,30,001,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","125,700","126,000","5,907,900",47
2000,"ILLINOIS, WEST, BROWN",17,30,009,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","38,900","39,000","1,789,400",46
2000,"ILLINOIS, WEST, FULTON",17,30,057,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","124,800","125,000","5,366,400",43
2000,"ILLINOIS, WEST, HANCOCK",17,30,067,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","153,700","154,000","7,070,200",46
2000,"ILLINOIS, WEST, HENDERSON",17,30,071,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","64,800","65,000","2,980,800",46
2000,"ILLINOIS, WEST, KNOX",17,30,095,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","133,700","134,000","6,417,600",48
2000,"ILLINOIS, WEST, MCDONOUGH",17,30,109,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","127,700","128,000","5,746,500",45
2000,"ILLINOIS, WEST, SCHUYLER",17,30,169,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","61,900","62,000","2,785,500",45
2000,"ILLINOIS, WEST, WARREN",17,30,187,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","118,800","119,000","5,583,600",47
2000,"IOWA, CENTRAL, BOONE",19,50,015,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","131,900","132,000","5,300,000",40.2
2000,"IOWA, CENTRAL, DALLAS",19,50,049,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","121,800","122,000","5,391,000",44.3
2000,"IOWA, CENTRAL, GRUNDY",19,50,075,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","142,600","143,000","6,863,000",48.1
2000,"IOWA, CENTRAL, HAMILTON",19,50,079,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","147,900","148,000","5,898,000",39.9
2000,"IOWA, CENTRAL, HARDIN",19,50,083,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","135,800","136,000","5,947,000",43.8
2000,"IOWA, CENTRAL, JASPER",19,50,099,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","143,900","144,000","6,624,000",46
2000,"IOWA, CENTRAL, MARSHALL",19,50,127,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","127,900","128,000","5,857,000",45.8
2000,"IOWA, CENTRAL, POLK",19,50,153,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","86,900","87,000","3,639,000",41.9
2000,"IOWA, CENTRAL, POWESHIEK",19,50,157,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","112,900","113,000","5,071,000",44.9
2000,"IOWA, CENTRAL, STORY",19,50,169,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","141,900","142,000","6,151,000",43.3
2000,"IOWA, CENTRAL, TAMA",19,50,171,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","142,600","143,000","6,505,000",45.6
2000,"IOWA, CENTRAL, WEBSTER",19,50,187,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","179,900","180,000","8,286,000",46.1
2000,"IOWA, EAST CENTRAL, BENTON",19,60,011,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","165,700","166,000","7,246,000",43.7
2000,"IOWA, EAST CENTRAL, CEDAR",19,60,031,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","125,800","126,000","5,862,000",46.6
2000,"IOWA, EAST CENTRAL, CLINTON",19,60,045,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","124,700","125,000","5,719,000",45.9
2000,"IOWA, EAST CENTRAL, IOWA",19,60,095,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","85,900","86,000","3,782,000",44
2000,"IOWA, EAST CENTRAL, JACKSON",19,60,097,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","40,900","41,000","1,903,000",46.5
2000,"IOWA, EAST CENTRAL, JOHNSON",19,60,103,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","88,800","89,000","3,619,000",40.8
2000,"IOWA, EAST CENTRAL, JONES",19,60,105,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","82,800","83,000","3,803,000",45.9
2000,"IOWA, EAST CENTRAL, LINN",19,60,113,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","120,700","121,000","5,255,000",43.5
2000,"IOWA, EAST CENTRAL, MUSCATINE",19,60,139,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","75,900","76,000","3,184,000",41.9
2000,"IOWA, EAST CENTRAL, SCOTT",19,60,163,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","80,800","81,000","3,984,000",49.3
2000,"IOWA, NORTH CENTRAL, BUTLER",19,20,023,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","128,900","129,000","5,989,000",46.5
2000,"IOWA, NORTH CENTRAL, CERRO GORDO",19,20,033,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","134,400","134,500","6,310,000",46.9
2000,"IOWA, NORTH CENTRAL, FLOYD",19,20,067,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","117,600","118,000","5,579,000",47.4
2000,"IOWA, NORTH CENTRAL, FRANKLIN",19,20,069,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","147,700","148,000","6,651,000",45
2000,"IOWA, NORTH CENTRAL, HANCOCK",19,20,081,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","138,900","139,000","6,602,000",47.5
2000,"IOWA, NORTH CENTRAL, HUMBOLDT",19,20,091,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","117,900","118,000","5,407,000",45.9
2000,"IOWA, NORTH CENTRAL, KOSSUTH",19,20,109,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","250,600","251,000","11,500,000",45.9
2000,"IOWA, NORTH CENTRAL, MITCHELL",19,20,131,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","102,900","103,000","4,973,000",48.3
2000,"IOWA, NORTH CENTRAL, WINNEBAGO",19,20,189,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","102,900","103,000","4,821,000",46.9
2000,"IOWA, NORTH CENTRAL, WORTH",19,20,195,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","98,900","99,000","4,692,000",47.4
2000,"IOWA, NORTH CENTRAL, WRIGHT",19,20,197,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","158,300","158,500","6,777,000",42.8
2000,"IOWA, NORTHEAST, ALLAMAKEE",19,30,005,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","27,900","28,000","1,319,000",47.3
2000,"IOWA, NORTHEAST, BLACK HAWK",19,30,013,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","116,600","117,000","5,350,000",45.9
2000,"IOWA, NORTHEAST, BREMER",19,30,017,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","90,800","91,000","4,794,000",52.8
2000,"IOWA, NORTHEAST, BUCHANAN",19,30,019,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","124,800","125,000","5,690,000",45.6
2000,"IOWA, NORTHEAST, CHICKASAW",19,30,037,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","103,700","104,000","5,222,000",50.4
2000,"IOWA, NORTHEAST, CLAYTON",19,30,043,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","42,900","43,000","2,232,000",52
2000,"IOWA, NORTHEAST, DELAWARE",19,30,055,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","84,900","85,000","4,581,000",54
2000,"IOWA, NORTHEAST, DUBUQUE",19,30,061,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","36,900","37,000","1,968,000",53.3
2000,"IOWA, NORTHEAST, FAYETTE",19,30,065,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","128,800","129,000","6,484,000",50.3
2000,"IOWA, NORTHEAST, HOWARD",19,30,089,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","97,800","98,000","4,698,000",48
2000,"IOWA, NORTHEAST, WINNESHIEK",19,30,191,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","73,900","74,000","3,773,000",51.1
2000,"IOWA, NORTHWEST, BUENA VISTA",19,10,021,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","152,700","153,000","5,859,000",38.4
2000,"IOWA, NORTHWEST, CHEROKEE",19,10,035,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","135,800","136,000","5,499,000",40.5
2000,"IOWA, NORTHWEST, CLAY",19,10,041,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","141,800","142,000","6,948,000",49
2000,"IOWA, NORTHWEST, DICKINSON",19,10,059,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","85,900","86,000","3,910,000",45.5
2000,"IOWA, NORTHWEST, EMMET",19,10,063,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","102,700","103,000","4,417,000",43
2000,"IOWA, NORTHWEST, LYON",19,10,119,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","140,800","141,000","6,992,000",49.7
2000,"IOWA, NORTHWEST, O BRIEN",19,10,141,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","152,600","153,000","7,578,000",49.7
2000,"IOWA, NORTHWEST, OSCEOLA",19,10,143,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","110,800","111,000","5,119,000",46.2
2000,"IOWA, NORTHWEST, PALO ALTO",19,10,147,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","142,800","143,000","6,505,000",45.6
2000,"IOWA, NORTHWEST, PLYMOUTH",19,10,149,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","199,700","200,000","7,668,000",38.4
2000,"IOWA, NORTHWEST, POCAHONTAS",19,10,151,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","161,700","162,000","6,967,000",43.1
2000,"IOWA, NORTHWEST, SIOUX",19,10,167,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","185,700","186,000","9,074,000",48.9
2000,"IOWA, SOUTH CENTRAL, APPANOOSE",19,80,007,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","39,300","39,500","1,629,000",41.5
2000,"IOWA, SOUTH CENTRAL, CLARKE",19,80,039,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","33,900","34,000","1,305,000",38.5
2000,"IOWA, SOUTH CENTRAL, DECATUR",19,80,053,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","38,800","39,000","1,559,000",40.2
2000,"IOWA, SOUTH CENTRAL, LUCAS",19,80,117,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","24,900","25,000","964,000",38.7
2000,"IOWA, SOUTH CENTRAL, MADISON",19,80,121,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","67,800","68,000","2,763,000",40.8
2000,"IOWA, SOUTH CENTRAL, MARION",19,80,125,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","71,700","72,000","3,265,000",45.5
2000,"IOWA, SOUTH CENTRAL, MONROE",19,80,135,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","32,400","32,500","1,246,000",38.5
2000,"IOWA, SOUTH CENTRAL, RINGGOLD",19,80,159,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","48,800","49,000","1,911,000",39.2
2000,"IOWA, SOUTH CENTRAL, UNION",19,80,175,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","50,800","51,000","2,039,000",40.1
2000,"IOWA, SOUTH CENTRAL, WARREN",19,80,181,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","66,800","67,000","2,874,000",43
2000,"IOWA, SOUTH CENTRAL, WAYNE",19,80,185,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","53,800","54,000","2,108,000",39.2
2000,"IOWA, SOUTHEAST, DAVIS",19,90,051,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","42,900","43,000","1,790,000",41.7
2000,"IOWA, SOUTHEAST, DES MOINES",19,90,057,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","66,900","67,000","2,740,000",41
2000,"IOWA, SOUTHEAST, HENRY",19,90,087,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","74,800","75,000","3,052,000",40.8
