YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"WEEK ENDING","PROGRESS in PCT PLANTED","PROGRESS, 5 YEAR AVG in PCT PLANTED","PROGRESS, PREVIOUS YEAR in PCT PLANTED","PROGRESS in PCT EMERGED","PROGRESS, 5 YEAR AVG in PCT EMERGED","PROGRESS, PREVIOUS YEAR in PCT EMERGED","PROGRESS in PCT BLOOMING","PROGRESS, 5 YEAR AVG in PCT BLOOMING","PROGRESS, PREVIOUS YEAR in PCT BLOOMING","PROGRESS in PCT SETTING PODS","PROGRESS, 5 YEAR AVG in PCT SETTING PODS","PROGRESS, PREVIOUS YEAR in PCT SETTING PODS","PROGRESS in PCT COLORING","PROGRESS, 5 YEAR AVG in PCT COLORING","PROGRESS, PREVIOUS YEAR in PCT COLORING","PROGRESS in PCT DROPPING LEAVES","PROGRESS, 5 YEAR AVG in PCT DROPPING LEAVES","PROGRESS, PREVIOUS YEAR in PCT DROPPING LEAVES","PROGRESS in PCT HARVESTED","PROGRESS, 5 YEAR AVG in PCT HARVESTED","PROGRESS, PREVIOUS YEAR in PCT HARVESTED","PROGRESS in PCT MATURE","PROGRESS, PREVIOUS YEAR in PCT MATURE"
1981,ILLINOIS,17,"  ","   ","WEEK #20",SOYBEANS,1981-05-17,8,31," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,ILLINOIS,17,"  ","   ","WEEK #21",SOYBEANS,1981-05-24,21,55," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,ILLINOIS,17,"  ","   ","WEEK #22",SOYBEANS,1981-05-31,36,75," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,ILLINOIS,17,"  ","   ","WEEK #23",SOYBEANS,1981-06-07,63,87," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,ILLINOIS,17,"  ","   ","WEEK #24",SOYBEANS,1981-06-14,78,94," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,ILLINOIS,17,"  ","   ","WEEK #25",SOYBEANS,1981-06-21,88,98," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,ILLINOIS,17,"  ","   ","WEEK #26",SOYBEANS,1981-06-28,94,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,ILLINOIS,17,"  ","   ","WEEK #27",SOYBEANS,1981-07-05,98,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,ILLINOIS,17,"  ","   ","WEEK #28",SOYBEANS,1981-07-12," "," "," "," "," "," ",25,36," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,ILLINOIS,17,"  ","   ","WEEK #29",SOYBEANS,1981-07-19," "," "," "," "," "," ",46,58," ",10,19," "," "," "," "," "," "," "," "," "," "," "," "
1981,ILLINOIS,17,"  ","   ","WEEK #30",SOYBEANS,1981-07-26," "," "," "," "," "," ",64,70," ",23,32," "," "," "," "," "," "," "," "," "," "," "," "
1981,ILLINOIS,17,"  ","   ","WEEK #31",SOYBEANS,1981-08-02," "," "," "," "," "," ",77,82," ",35,48," "," "," "," "," "," "," "," "," "," "," "," "
1981,ILLINOIS,17,"  ","   ","WEEK #32",SOYBEANS,1981-08-09," "," "," "," "," "," ",84,91," ",55,65," "," "," "," "," "," "," "," "," "," "," "," "
1981,ILLINOIS,17,"  ","   ","WEEK #33",SOYBEANS,1981-08-16," "," "," "," "," "," ",93,97," ",65,82," "," "," "," "," "," "," "," "," "," "," "," "
1981,ILLINOIS,17,"  ","   ","WEEK #34",SOYBEANS,1981-08-23," "," "," "," "," "," ",97,100," ",83,92," "," "," "," "," "," "," "," "," "," "," "," "
1981,ILLINOIS,17,"  ","   ","WEEK #35",SOYBEANS,1981-08-30," "," "," "," "," "," "," "," "," ",94,97," "," "," "," "," "," "," "," "," "," "," "," "
1981,ILLINOIS,17,"  ","   ","WEEK #36",SOYBEANS,1981-09-06," "," "," "," "," "," "," "," "," ",100,100," "," "," "," ",5,16," "," "," "," "," "," "
1981,ILLINOIS,17,"  ","   ","WEEK #37",SOYBEANS,1981-09-13," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",15,38," "," "," "," "," "," "
1981,ILLINOIS,17,"  ","   ","WEEK #38",SOYBEANS,1981-09-20," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",35,61," "," "," "," "," "," "
1981,ILLINOIS,17,"  ","   ","WEEK #39",SOYBEANS,1981-09-27," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",65,86," ",11,25," "," "," "
1981,ILLINOIS,17,"  ","   ","WEEK #40",SOYBEANS,1981-10-04," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",85,96," ",26,48," "," "," "
1981,ILLINOIS,17,"  ","   ","WEEK #41",SOYBEANS,1981-10-11," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",96,100," ",49,66," "," "," "
1981,ILLINOIS,17,"  ","   ","WEEK #42",SOYBEANS,1981-10-18," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",100,100," ",72,81," "," "," "
1981,ILLINOIS,17,"  ","   ","WEEK #43",SOYBEANS,1981-10-25," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",100,100," ",85,89," "," "," "
1981,ILLINOIS,17,"  ","   ","WEEK #44",SOYBEANS,1981-11-01," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",91,95," "," "," "
1981,ILLINOIS,17,"  ","   ","WEEK #45",SOYBEANS,1981-11-08," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",93,97," "," "," "
1981,ILLINOIS,17,"  ","   ","WEEK #46",SOYBEANS,1981-11-15," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",97,98," "," "," "
1981,ILLINOIS,17,"  ","   ","WEEK #47",SOYBEANS,1981-11-22," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",99,99," "," "," "
1981,ILLINOIS,17,"  ","   ","WEEK #48",SOYBEANS,1981-11-29," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",100,99," "," "," "
1981,IOWA,19,"  ","   ","WEEK #19",SOYBEANS,1981-05-10,5,8," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,IOWA,19,"  ","   ","WEEK #20",SOYBEANS,1981-05-17,21,32," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,IOWA,19,"  ","   ","WEEK #21",SOYBEANS,1981-05-24,57,66," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,IOWA,19,"  ","   ","WEEK #22",SOYBEANS,1981-05-31,85,87," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,IOWA,19,"  ","   ","WEEK #23",SOYBEANS,1981-06-07,95,94," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,IOWA,19,"  ","   ","WEEK #24",SOYBEANS,1981-06-14,100,98," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,IOWA,19,"  ","   ","WEEK #25",SOYBEANS,1981-06-21,100,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,IOWA,19,"  ","   ","WEEK #26",SOYBEANS,1981-06-28,100,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,IOWA,19,"  ","   ","WEEK #27",SOYBEANS,1981-07-05,100,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,IOWA,19,"  ","   ","WEEK #28",SOYBEANS,1981-07-12," "," "," "," "," "," ",24,34," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,IOWA,19,"  ","   ","WEEK #29",SOYBEANS,1981-07-19," "," "," "," "," "," ",60,60," ",19,17," "," "," "," "," "," "," "," "," "," "," "," "
1981,IOWA,19,"  ","   ","WEEK #30",SOYBEANS,1981-07-26," "," "," "," "," "," ",82,79," ",45,38," "," "," "," "," "," "," "," "," "," "," "," "
1981,IOWA,19,"  ","   ","WEEK #31",SOYBEANS,1981-08-02," "," "," "," "," "," ",91,90," ",61,59," "," "," "," "," "," "," "," "," "," "," "," "
1981,IOWA,19,"  ","   ","WEEK #32",SOYBEANS,1981-08-09," "," "," "," "," "," ",96,98," ",77,77," "," "," "," "," "," "," "," "," "," "," "," "
1981,IOWA,19,"  ","   ","WEEK #33",SOYBEANS,1981-08-16," "," "," "," "," "," ",100,100," ",92,91," "," "," "," "," "," "," "," "," "," "," "," "
1981,IOWA,19,"  ","   ","WEEK #34",SOYBEANS,1981-08-23," "," "," "," "," "," ",100,100," ",97,99," "," "," "," "," "," "," "," "," "," "," "," "
1981,IOWA,19,"  ","   ","WEEK #35",SOYBEANS,1981-08-30," "," "," "," "," "," "," "," "," ",100,100," "," "," "," "," "," "," "," "," "," "," "," "
1981,IOWA,19,"  ","   ","WEEK #36",SOYBEANS,1981-09-06," "," "," "," "," "," "," "," "," ",100,100," "," "," "," ",5,16," "," "," "," "," "," "
1981,IOWA,19,"  ","   ","WEEK #37",SOYBEANS,1981-09-13," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",26,40," "," "," "," "," "," "
1981,IOWA,19,"  ","   ","WEEK #38",SOYBEANS,1981-09-20," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",58,67," "," "," "," "," "," "
1981,IOWA,19,"  ","   ","WEEK #39",SOYBEANS,1981-09-27," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",85,87," ",23,19," "," "," "
1981,IOWA,19,"  ","   ","WEEK #40",SOYBEANS,1981-10-04," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",98,98," ",44,40," "," "," "
1981,IOWA,19,"  ","   ","WEEK #41",SOYBEANS,1981-10-11," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",100,100," ",65,61," "," "," "
1981,IOWA,19,"  ","   ","WEEK #42",SOYBEANS,1981-10-18," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",100,100," ",70,80," "," "," "
1981,IOWA,19,"  ","   ","WEEK #43",SOYBEANS,1981-10-25," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",100,100," ",85,90," "," "," "
1981,IOWA,19,"  ","   ","WEEK #44",SOYBEANS,1981-11-01," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",90,94," "," "," "
1981,IOWA,19,"  ","   ","WEEK #45",SOYBEANS,1981-11-08," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",95,97," "," "," "
1981,IOWA,19,"  ","   ","WEEK #46",SOYBEANS,1981-11-15," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",100,98," "," "," "
1981,IOWA,19,"  ","   ","WEEK #47",SOYBEANS,1981-11-22," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "," "," "
1981,IOWA,19,"  ","   ","WEEK #48",SOYBEANS,1981-11-29," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "," "," "
1981,MISSISSIPPI,28,"  ","   ","WEEK #19",SOYBEANS,1981-05-10,12,9," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,MISSISSIPPI,28,"  ","   ","WEEK #20",SOYBEANS,1981-05-17,26,23," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,MISSISSIPPI,28,"  ","   ","WEEK #21",SOYBEANS,1981-05-24,36,35," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,MISSISSIPPI,28,"  ","   ","WEEK #22",SOYBEANS,1981-05-31,46,49," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,MISSISSIPPI,28,"  ","   ","WEEK #23",SOYBEANS,1981-06-07,57,61," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,MISSISSIPPI,28,"  ","   ","WEEK #24",SOYBEANS,1981-06-14,65,71," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,MISSISSIPPI,28,"  ","   ","WEEK #25",SOYBEANS,1981-06-21,84,85," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,MISSISSIPPI,28,"  ","   ","WEEK #26",SOYBEANS,1981-06-28,93,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,MISSISSIPPI,28,"  ","   ","WEEK #27",SOYBEANS,1981-07-05,96,96," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,MISSISSIPPI,28,"  ","   ","WEEK #28",SOYBEANS,1981-07-12," "," "," "," "," "," ",17,13," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,MISSISSIPPI,28,"  ","   ","WEEK #29",SOYBEANS,1981-07-19," "," "," "," "," "," ",41,33," ",10,6," "," "," "," "," "," "," "," "," "," "," "," "
1981,MISSISSIPPI,28,"  ","   ","WEEK #30",SOYBEANS,1981-07-26," "," "," "," "," "," ",61,47," ",18,17," "," "," "," "," "," "," "," "," "," "," "," "
1981,MISSISSIPPI,28,"  ","   ","WEEK #31",SOYBEANS,1981-08-02," "," "," "," "," "," ",72,66," ",30,24," "," "," "," "," "," "," "," "," "," "," "," "
1981,MISSISSIPPI,28,"  ","   ","WEEK #32",SOYBEANS,1981-08-09," "," "," "," "," "," ",84,82," ",40,40," "," "," "," "," "," "," "," "," "," "," "," "
1981,MISSISSIPPI,28,"  ","   ","WEEK #33",SOYBEANS,1981-08-16," "," "," "," "," "," ",89,89," ",57,53," "," "," "," "," "," "," "," "," "," "," "," "
1981,MISSISSIPPI,28,"  ","   ","WEEK #34",SOYBEANS,1981-08-23," "," "," "," "," "," ",93,96," ",63,71," "," "," "," "," "," "," "," "," "," "," "," "
1981,MISSISSIPPI,28,"  ","   ","WEEK #35",SOYBEANS,1981-08-30," "," "," "," "," "," "," "," "," ",90,82," "," "," "," "," "," "," "," "," "," "," "," "
1981,MISSISSIPPI,28,"  ","   ","WEEK #36",SOYBEANS,1981-09-06," "," "," "," "," "," "," "," "," ",95,93," "," "," "," ",7,7," "," "," "," "," "," "
1981,MISSISSIPPI,28,"  ","   ","WEEK #37",SOYBEANS,1981-09-13," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",30,21," "," "," "," "," "," "
1981,MISSISSIPPI,28,"  ","   ","WEEK #38",SOYBEANS,1981-09-20," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",45,45," "," "," "," "," "," "
1981,MISSISSIPPI,28,"  ","   ","WEEK #39",SOYBEANS,1981-09-27," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",68,59," ",6,7," "," "," "
1981,MISSISSIPPI,28,"  ","   ","WEEK #40",SOYBEANS,1981-10-04," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",82,75," ",11,13," "," "," "
1981,MISSISSIPPI,28,"  ","   ","WEEK #41",SOYBEANS,1981-10-11," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",88,87," ",18,19," "," "," "
1981,MISSISSIPPI,28,"  ","   ","WEEK #42",SOYBEANS,1981-10-18," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",93,95," ",25,33," "," "," "
1981,MISSISSIPPI,28,"  ","   ","WEEK #43",SOYBEANS,1981-10-25," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",100,100," ",38,45," "," "," "
1981,MISSISSIPPI,28,"  ","   ","WEEK #44",SOYBEANS,1981-11-01," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",49,59," "," "," "
1981,MISSISSIPPI,28,"  ","   ","WEEK #45",SOYBEANS,1981-11-08," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",63,70," "," "," "
1981,MISSISSIPPI,28,"  ","   ","WEEK #46",SOYBEANS,1981-11-15," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",80,80," "," "," "
1981,MISSISSIPPI,28,"  ","   ","WEEK #47",SOYBEANS,1981-11-22," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",91,88," "," "," "
1981,MISSISSIPPI,28,"  ","   ","WEEK #48",SOYBEANS,1981-11-29," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",98,92," "," "," "
1982,ILLINOIS,17,"  ","   ","WEEK #18",SOYBEANS,1982-05-09,14,9," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1982,ILLINOIS,17,"  ","   ","WEEK #19",SOYBEANS,1982-05-16,45,27," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1982,ILLINOIS,17,"  ","   ","WEEK #20",SOYBEANS,1982-05-23,67,48," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1982,ILLINOIS,17,"  ","   ","WEEK #21",SOYBEANS,1982-05-30,80,63," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1982,ILLINOIS,17,"  ","   ","WEEK #22",SOYBEANS,1982-06-06,82,81," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1982,ILLINOIS,17,"  ","   ","WEEK #23",SOYBEANS,1982-06-13,90,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1982,ILLINOIS,17,"  ","   ","WEEK #24",SOYBEANS,1982-06-20,95,96," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1982,ILLINOIS,17,"  ","   ","WEEK #25",SOYBEANS,1982-06-27,98,98," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1982,ILLINOIS,17,"  ","   ","WEEK #26",SOYBEANS,1982-07-04,99,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1982,ILLINOIS,17,"  ","   ","WEEK #27",SOYBEANS,1982-07-11,100,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1982,ILLINOIS,17,"  ","   ","WEEK #28",SOYBEANS,1982-07-18," "," "," "," "," "," ",60,54," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1982,ILLINOIS,17,"  ","   ","WEEK #29",SOYBEANS,1982-07-25," "," "," "," "," "," ",78,68," ",35,28," "," "," "," "," "," "," "," "," "," "," "," "
1982,ILLINOIS,17,"  ","   ","WEEK #30",SOYBEANS,1982-08-01," "," "," "," "," "," ",85,80," ",55,44," "," "," "," "," "," "," "," "," "," "," "," "
1982,ILLINOIS,17,"  ","   ","WEEK #31",SOYBEANS,1982-08-08," "," "," "," "," "," ",89,88," ",62,60," "," "," "," "," "," "," "," "," "," "," "," "
1982,ILLINOIS,17,"  ","   ","WEEK #32",SOYBEANS,1982-08-15," "," "," "," "," "," ",93,96," ",78,77," "," "," "," "," "," "," "," "," "," "," "," "
1982,ILLINOIS,17,"  ","   ","WEEK #33",SOYBEANS,1982-08-22," "," "," "," "," "," ",98,99," ",89,88," "," "," "," "," "," "," "," "," "," "," "," "
1982,ILLINOIS,17,"  ","   ","WEEK #34",SOYBEANS,1982-08-29," "," "," "," "," "," ",100,100," ",95,95," "," "," "," "," "," "," "," "," "," "," "," "
1982,ILLINOIS,17,"  ","   ","WEEK #35",SOYBEANS,1982-09-05," "," "," "," "," "," "," "," "," ",99,99," "," "," "," ",10,10," "," "," "," "," "," "
1982,ILLINOIS,17,"  ","   ","WEEK #36",SOYBEANS,1982-09-12," "," "," "," "," "," "," "," "," ",100,100," "," "," "," ",35,28," "," "," "," "," "," "
1982,ILLINOIS,17,"  ","   ","WEEK #37",SOYBEANS,1982-09-19," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",60,51," "," "," "," "," "," "
1982,ILLINOIS,17,"  ","   ","WEEK #38",SOYBEANS,1982-09-26," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",80,76," ",20,17," "," "," "
1982,ILLINOIS,17,"  ","   ","WEEK #39",SOYBEANS,1982-10-03," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",92,93," ",44,38," "," "," "
1982,ILLINOIS,17,"  ","   ","WEEK #40",SOYBEANS,1982-10-10," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",99,99," ",75,58," "," "," "
1982,ILLINOIS,17,"  ","   ","WEEK #41",SOYBEANS,1982-10-17," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",100,100," ",85,75," "," "," "
1982,ILLINOIS,17,"  ","   ","WEEK #42",SOYBEANS,1982-10-24," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",100,100," ",91,87," "," "," "
1982,ILLINOIS,17,"  ","   ","WEEK #43",SOYBEANS,1982-10-31," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",95,93," "," "," "
1982,ILLINOIS,17,"  ","   ","WEEK #44",SOYBEANS,1982-11-07," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",98,96," "," "," "
1982,ILLINOIS,17,"  ","   ","WEEK #45",SOYBEANS,1982-11-14," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",100,98," "," "," "
1982,ILLINOIS,17,"  ","   ","WEEK #46",SOYBEANS,1982-11-21," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",100,99," "," "," "
1982,ILLINOIS,17,"  ","   ","WEEK #47",SOYBEANS,1982-11-28," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "," "," "
1982,IOWA,19,"  ","   ","WEEK #18",SOYBEANS,1982-05-09,4,7," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
