LOCATION,YEAR,MONTH,Precipitation,Anomaly
ALABAMA,2007,05,0.73,-3.59
ALABAMA,2007,06,2.78,-2.01
ALABAMA,2007,07,5.2,0.12
ALABAMA,2007,08,2.67,-2.1
ALABAMA,2007,09,3.11,-1.05
ALABAMA,2007,10,3.92,0.82
ALABAMA,2007,11,2.75,-1.49
ALABAMA,2007,12,4.25,-1.64
ALABAMA,2008,01,4.09,-0.49
ALABAMA,2008,02,5.79,0.9
ALABAMA,2008,03,4.01,-1.11
ALABAMA,2008,04,4.53,-0.33
ALABAMA,2008,05,4.43,0.11
ALABAMA,2008,06,2.69,-2.1
ALABAMA,2008,07,4.04,-1.04
ALABAMA,2008,08,8.89,4.12
ALABAMA,2008,09,1.65,-2.51
ALABAMA,2008,10,3.02,-0.08
ALABAMA,2008,11,3.15,-1.09
ALABAMA,2008,12,6.78,0.89
ALABAMA,2009,01,4.42,-0.16
ALABAMA,2009,02,3.85,-1.04
ALABAMA,2009,03,8.98,3.86
ALABAMA,2009,04,4.45,-0.41
ALABAMA,2009,05,8.51,4.19
ALABAMA,2009,06,2.71,-2.08
ALABAMA,2009,07,5.59,0.51
ALABAMA,2009,08,5.49,0.72
ALABAMA,2009,09,7.57,3.41
ALABAMA,2009,10,7.18,4.08
ALABAMA,2009,11,4.39,0.15
ALABAMA,2009,12,10.63,4.74
ALABAMA,2010,01,6.21,1.63
ALABAMA,2010,02,4.22,-0.67
ALABAMA,2010,03,5.07,-0.05
ALABAMA,2010,04,2.82,-2.04
ALABAMA,2010,05,6.15,1.83
ALABAMA,2010,06,3.26,-1.53
ALABAMA,2010,07,3.5,-1.58
ALABAMA,2010,08,4.83,0.06
ALABAMA,2010,09,1.61,-2.55
ALABAMA,2010,10,2.59,-0.51
ALABAMA,2010,11,4.73,0.49
ALABAMA,2010,12,2.2,-3.69
ALABAMA,2011,01,4.03,-0.55
ALABAMA,2011,02,3.49,-1.4
ALABAMA,2011,03,8.18,3.06
ALABAMA,2011,04,5.08,0.22
ALABAMA,2011,05,1.64,-2.68
ALABAMA,2011,06,3.55,-1.24
ALABAMA,2011,07,5.52,0.44
ALABAMA,2011,08,2.05,-2.72
ALABAMA,2011,09,7.21,3.05
ALABAMA,2011,10,0.79,-2.31
ALABAMA,2011,11,4.13,-0.11
ALABAMA,2011,12,5.04,-0.85
ALABAMA,2012,01,5.44,0.86
ALABAMA,2012,02,4.49,-0.4
ALABAMA,2012,03,5.35,0.23
ALABAMA,2012,04,1.89,-2.97
ALABAMA,2012,05,4.16,-0.16
ALABAMA,2012,06,4.0,-0.79
ALABAMA,2012,07,5.75,0.67
ALABAMA,2012,08,6.07,1.3
ALABAMA,2012,09,5.35,1.19
ALABAMA,2012,10,2.91,-0.19
ALABAMA,2012,11,1.36,-2.88
ALABAMA,2012,12,6.61,0.72
ALABAMA,2013,01,6.27,1.69
ALABAMA,2013,02,8.86,3.97
ALABAMA,2013,03,3.83,-1.29
ALABAMA,2013,04,5.71,0.85
ALABAMA,2013,05,4.0,-0.32
ALABAMA,2013,06,5.81,1.02
ALABAMA,2013,07,8.7,3.62
ALABAMA,2013,08,5.5,0.73
ALABAMA,2013,09,3.2,-0.96
ALABAMA,2013,10,1.47,-1.63
ALABAMA,2013,11,3.42,-0.82
ALABAMA,2013,12,7.93,2.04
ALABAMA,2014,01,2.7,-1.88
ALABAMA,2014,02,5.75,0.86
ALABAMA,2014,03,5.57,0.45
ALABAMA,2014,04,9.67,4.81
ALABAMA,2014,05,4.27,-0.05
ALABAMA,2014,06,5.23,0.44
ALABAMA,2014,07,3.36,-1.72
ALABAMA,2014,08,3.25,-1.52
ALABAMA,2014,09,2.51,-1.65
ALABAMA,2014,10,4.38,1.28
ALABAMA,2014,11,2.98,-1.26
ALABAMA,2014,12,6.36,0.47
ALABAMA,2015,01,4.34,-0.24
ALABAMA,2015,02,4.05,-0.84
ALABAMA,2015,03,4.28,-0.84
ALABAMA,2015,04,7.14,2.28
ALABAMA,2015,05,4.32,0.0
ALABAMA,2015,06,3.27,-1.52
ALABAMA,2015,07,4.71,-0.37
ALABAMA,2015,08,4.94,0.17
ALABAMA,2015,09,2.71,-1.45
ALABAMA,2015,10,2.93,-0.17
ALABAMA,2015,11,6.8,2.56
ALABAMA,2015,12,11.87,5.98
ALABAMA,2016,01,4.06,-0.52
ALABAMA,2016,02,5.85,0.96
ALABAMA,2016,03,5.42,0.3
ALABAMA,2016,04,5.68,0.82
ALABAMA,2016,05,2.14,-2.18
ALABAMA,2016,06,3.81,-0.98
ALABAMA,2016,07,4.27,-0.81
ALABAMA,2016,08,4.58,-0.19
ALABAMA,2016,09,1.72,-2.44
ALABAMA,2016,10,0.13,-2.97
ALABAMA,2016,11,2.3,-1.94
ALABAMA,2016,12,5.05,-0.84
ALABAMA,2017,01,9.17,4.59
ALABAMA,2017,02,3.7,-1.19
ALABAMA,2017,03,4.17,-0.95
ALABAMA,2017,04,4.09,-0.77
ALABAMA,2017,05,7.01,2.69
ALABAMA,2017,06,10.7,5.91
ALABAMA,2017,07,5.06,-0.02
ALABAMA,2017,08,6.07,1.3
ALABAMA,2017,09,3.25,-0.91
ALABAMA,2017,10,6.03,2.93
ALABAMA,2017,11,1.05,-3.19
ALABAMA,2017,12,3.89,-2.0
ALABAMA,2018,01,2.32,-2.26
ALABAMA,2018,02,7.27,2.38
ALABAMA,2018,03,4.14,-0.98
ALABAMA,2018,04,5.94,1.08
ALABAMA,2018,05,5.52,1.2
ALABAMA,2018,06,4.58,-0.21
ALABAMA,2018,07,4.46,-0.62
ALABAMA,2018,08,5.03,0.26
ALABAMA,2018,09,6.21,2.05
ALABAMA,2018,10,2.69,-0.41
ALABAMA,2018,11,6.29,2.05
ALABAMA,2018,12,9.95,4.06
ALABAMA,2019,01,6.0,1.42
ARIZONA,1996,01,0.2,-0.89
ARIZONA,1996,02,1.08,0.12
ARIZONA,1996,03,0.37,-0.35
ARIZONA,1996,04,0.06,-0.32
ARIZONA,1996,05,0.09,-0.18
ARIZONA,1996,06,0.26,0.04
ARIZONA,1996,07,1.7,-0.11
ARIZONA,1996,08,1.39,-0.55
ARIZONA,1996,09,1.86,0.77
ARIZONA,1996,10,0.75,-0.18
ARIZONA,1996,11,0.79,0.17
ARIZONA,1996,12,0.19,-0.86
ARIZONA,1997,01,1.89,0.8
ARIZONA,1997,02,0.91,-0.05
ARIZONA,1997,03,0.11,-0.61
ARIZONA,1997,04,0.76,0.38
ARIZONA,1997,05,0.37,0.1
ARIZONA,1997,06,0.25,0.03
ARIZONA,1997,07,0.82,-0.99
ARIZONA,1997,08,2.26,0.32
ARIZONA,1997,09,2.18,1.09
ARIZONA,1997,10,0.7,-0.23
ARIZONA,1997,11,0.59,-0.03
ARIZONA,1997,12,1.87,0.82
ARIZONA,1998,01,0.55,-0.54
ARIZONA,1998,02,3.06,2.1
ARIZONA,1998,03,1.9,1.18
ARIZONA,1998,04,0.63,0.25
ARIZONA,1998,05,0.26,-0.01
ARIZONA,1998,06,0.07,-0.15
ARIZONA,1998,07,2.35,0.54
ARIZONA,1998,08,1.6,-0.34
ARIZONA,1998,09,1.44,0.35
ARIZONA,1998,10,1.26,0.33
ARIZONA,1998,11,0.93,0.31
ARIZONA,1998,12,0.39,-0.66
ARIZONA,1999,01,0.14,-0.95
ARIZONA,1999,02,0.36,-0.6
ARIZONA,1999,03,0.19,-0.53
ARIZONA,1999,04,1.37,0.99
ARIZONA,1999,05,0.17,-0.1
ARIZONA,1999,06,0.36,0.14
ARIZONA,1999,07,3.39,1.58
ARIZONA,1999,08,2.55,0.61
ARIZONA,1999,09,1.8,0.71
ARIZONA,1999,10,0.0,-0.93
ARIZONA,1999,11,0.0,-0.62
ARIZONA,1999,12,0.04,-1.01
ARIZONA,2000,01,0.28,-0.81
ARIZONA,2000,02,0.59,-0.37
ARIZONA,2000,03,1.73,1.01
ARIZONA,2000,04,0.11,-0.27
ARIZONA,2000,05,0.02,-0.25
ARIZONA,2000,06,0.73,0.51
ARIZONA,2000,07,0.53,-1.28
ARIZONA,2000,08,2.45,0.51
ARIZONA,2000,09,0.19,-0.9
ARIZONA,2000,10,3.54,2.61
ARIZONA,2000,11,0.84,0.22
ARIZONA,2000,12,0.12,-0.93
ARIZONA,2001,01,1.7,0.61
ARIZONA,2001,02,1.0,0.04
ARIZONA,2001,03,1.04,0.32
ARIZONA,2001,04,0.97,0.59
ARIZONA,2001,05,0.37,0.1
ARIZONA,2001,06,0.24,0.02
ARIZONA,2001,07,1.5,-0.31
ARIZONA,2001,08,2.04,0.1
ARIZONA,2001,09,0.39,-0.7
ARIZONA,2001,10,0.43,-0.5
ARIZONA,2001,11,0.29,-0.33
ARIZONA,2001,12,0.82,-0.23
ARIZONA,2002,01,0.19,-0.9
ARIZONA,2002,02,0.1,-0.86
ARIZONA,2002,03,0.22,-0.5
ARIZONA,2002,04,0.18,-0.2
ARIZONA,2002,05,0.01,-0.26
ARIZONA,2002,06,0.01,-0.21
ARIZONA,2002,07,1.31,-0.5
ARIZONA,2002,08,0.87,-1.07
ARIZONA,2002,09,1.88,0.79
ARIZONA,2002,10,0.7,-0.23
ARIZONA,2002,11,0.64,0.02
ARIZONA,2002,12,0.86,-0.19
ARIZONA,2003,01,0.32,-0.77
ARIZONA,2003,02,2.44,1.48
ARIZONA,2003,03,1.07,0.35
ARIZONA,2003,04,0.29,-0.09
ARIZONA,2003,05,0.1,-0.17
ARIZONA,2003,06,0.05,-0.17
ARIZONA,2003,07,1.25,-0.56
ARIZONA,2003,08,1.8,-0.14
ARIZONA,2003,09,1.09,0.0
ARIZONA,2003,10,0.41,-0.52
ARIZONA,2003,11,1.15,0.53
ARIZONA,2003,12,0.54,-0.51
ARIZONA,2004,01,0.71,-0.38
ARIZONA,2004,02,1.07,0.11
ARIZONA,2004,03,0.75,0.03
ARIZONA,2004,04,1.32,0.94
ARIZONA,2004,05,0.01,-0.26
ARIZONA,2004,06,0.09,-0.13
ARIZONA,2004,07,1.14,-0.67
ARIZONA,2004,08,1.48,-0.46
ARIZONA,2004,09,1.58,0.49
ARIZONA,2004,10,1.95,1.02
ARIZONA,2004,11,1.76,1.14
ARIZONA,2004,12,1.66,0.61
ARIZONA,2005,01,2.83,1.74
ARIZONA,2005,02,3.35,2.39
ARIZONA,2005,03,0.86,0.14
ARIZONA,2005,04,0.7,0.32
ARIZONA,2005,05,0.22,-0.05
ARIZONA,2005,06,0.21,-0.01
ARIZONA,2005,07,1.05,-0.76
ARIZONA,2005,08,2.43,0.49
ARIZONA,2005,09,0.42,-0.67
ARIZONA,2005,10,0.92,-0.01
ARIZONA,2005,11,0.06,-0.56
ARIZONA,2005,12,0.04,-1.01
ARIZONA,2006,01,0.13,-0.96
ARIZONA,2006,02,0.04,-0.92
ARIZONA,2006,03,1.41,0.69
ARIZONA,2006,04,0.24,-0.14
ARIZONA,2006,05,0.05,-0.22
ARIZONA,2006,06,0.34,0.12
ARIZONA,2006,07,2.49,0.68
ARIZONA,2006,08,2.02,0.08
ARIZONA,2006,09,1.42,0.33
ARIZONA,2006,10,1.18,0.25
ARIZONA,2006,11,0.07,-0.55
ARIZONA,2006,12,0.37,-0.68
ARIZONA,2007,01,0.79,-0.3
ARIZONA,2007,02,0.56,-0.4
ARIZONA,2007,03,0.83,0.11
ARIZONA,2007,04,0.24,-0.14
ARIZONA,2007,05,0.3,0.03
ARIZONA,2007,06,0.12,-0.1
ARIZONA,2007,07,2.27,0.46
ARIZONA,2007,08,1.87,-0.07
ARIZONA,2007,09,0.98,-0.11
ARIZONA,2007,10,0.15,-0.78
ARIZONA,2007,11,0.6,-0.02
ARIZONA,2007,12,2.28,1.23
ARIZONA,2008,01,1.99,0.9
ARIZONA,2008,02,1.19,0.23
ARIZONA,2008,03,0.07,-0.65
ARIZONA,2008,04,0.02,-0.36
ARIZONA,2008,05,0.65,0.38
ARIZONA,2008,06,0.15,-0.07
ARIZONA,2008,07,2.25,0.44
ARIZONA,2008,08,2.31,0.37
ARIZONA,2008,09,0.62,-0.47
ARIZONA,2008,10,0.28,-0.65
ARIZONA,2008,11,0.89,0.27
ARIZONA,2008,12,1.89,0.84
ARIZONA,2009,01,0.52,-0.57
ARIZONA,2009,02,1.02,0.06
ARIZONA,2009,03,0.17,-0.55
ARIZONA,2009,04,0.29,-0.09
ARIZONA,2009,05,0.74,0.47
ARIZONA,2009,06,0.34,0.12
ARIZONA,2009,07,1.09,-0.72
ARIZONA,2009,08,0.66,-1.28
ARIZONA,2009,09,0.69,-0.4
ARIZONA,2009,10,0.15,-0.78
ARIZONA,2009,11,0.15,-0.47
ARIZONA,2009,12,1.21,0.16
ARIZONA,2010,01,3.41,2.32
ARIZONA,2010,02,1.44,0.48
ARIZONA,2010,03,1.03,0.31
ARIZONA,2010,04,0.27,-0.11
ARIZONA,2010,05,0.06,-0.21
ARIZONA,2010,06,0.08,-0.14
ARIZONA,2010,07,1.97,0.16
ARIZONA,2010,08,1.84,-0.1
ARIZONA,2010,09,0.6,-0.49
ARIZONA,2010,10,1.35,0.42
ARIZONA,2010,11,0.19,-0.43
ARIZONA,2010,12,1.67,0.62
ARIZONA,2011,01,0.05,-1.04
ARIZONA,2011,02,1.05,0.09
ARIZONA,2011,03,0.33,-0.39
ARIZONA,2011,04,0.41,0.03
ARIZONA,2011,05,0.28,0.01
ARIZONA,2011,06,0.02,-0.2
ARIZONA,2011,07,1.76,-0.05
ARIZONA,2011,08,1.28,-0.66
ARIZONA,2011,09,1.31,0.22
ARIZONA,2011,10,0.67,-0.26
ARIZONA,2011,11,0.92,0.3
ARIZONA,2011,12,1.55,0.5
ARIZONA,2012,01,0.26,-0.83
ARIZONA,2012,02,0.43,-0.53
ARIZONA,2012,03,0.69,-0.03
ARIZONA,2012,04,0.32,-0.06
ARIZONA,2012,05,0.05,-0.22
ARIZONA,2012,06,0.08,-0.14
ARIZONA,2012,07,2.52,0.71
ARIZONA,2012,08,2.22,0.28
ARIZONA,2012,09,1.07,-0.02
ARIZONA,2012,10,0.25,-0.68
ARIZONA,2012,11,0.21,-0.41
ARIZONA,2012,12,1.46,0.41
ARIZONA,2013,01,1.3,0.21
ARIZONA,2013,02,0.51,-0.45
ARIZONA,2013,03,0.57,-0.15
ARIZONA,2013,04,0.2,-0.18
ARIZONA,2013,05,0.06,-0.21
ARIZONA,2013,06,0.03,-0.19
ARIZONA,2013,07,2.68,0.87
ARIZONA,2013,08,2.39,0.45
ARIZONA,2013,09,1.88,0.79
ARIZONA,2013,10,0.21,-0.72
ARIZONA,2013,11,1.86,1.24
ARIZONA,2013,12,0.44,-0.61
ARIZONA,2014,01,0.03,-1.06
ARIZONA,2014,02,0.16,-0.8
ARIZONA,2014,03,0.9,0.18
ARIZONA,2014,04,0.24,-0.14
ARIZONA,2014,05,0.07,-0.2
ARIZONA,2014,06,0.01,-0.21
ARIZONA,2014,07,1.86,0.05
ARIZONA,2014,08,3.13,1.19
ARIZONA,2014,09,2.49,1.4
ARIZONA,2014,10,0.6,-0.33
ARIZONA,2014,11,0.11,-0.51
ARIZONA,2014,12,1.47,0.42
ARIZONA,2015,01,1.79,0.7
ARIZONA,2015,02,0.64,-0.32
ARIZONA,2015,03,1.12,0.4
ARIZONA,2015,04,0.42,0.04
ARIZONA,2015,05,1.0,0.73
ARIZONA,2015,06,0.8,0.58
ARIZONA,2015,07,1.91,0.1
ARIZONA,2015,08,2.1,0.16
ARIZONA,2015,09,1.37,0.28
ARIZONA,2015,10,1.88,0.95
ARIZONA,2015,11,0.76,0.14
ARIZONA,2015,12,0.6,-0.45
ARIZONA,2016,01,1.4,0.31
ARIZONA,2016,02,0.29,-0.67
ARIZONA,2016,03,0.11,-0.61
ARIZONA,2016,04,0.8,0.42
ARIZONA,2016,05,0.52,0.25
ARIZONA,2016,06,0.43,0.21
ARIZONA,2016,07,1.39,-0.42
ARIZONA,2016,08,2.57,0.63
ARIZONA,2016,09,1.35,0.26
ARIZONA,2016,10,0.35,-0.58
ARIZONA,2016,11,0.94,0.32
ARIZONA,2016,12,2.13,1.08
ARIZONA,2017,01,2.07,0.98
ARIZONA,2017,02,1.26,0.3
ARIZONA,2017,03,0.41,-0.31
ARIZONA,2017,04,0.19,-0.19
ARIZONA,2017,05,0.41,0.14
ARIZONA,2017,06,0.06,-0.16
ARIZONA,2017,07,2.89,1.08
ARIZONA,2017,08,1.39,-0.55
ARIZONA,2017,09,0.61,-0.48
ARIZONA,2017,10,0.03,-0.9
ARIZONA,2017,11,0.02,-0.6
ARIZONA,2017,12,0.13,-0.92
ARIZONA,2018,01,0.56,-0.53
ARIZONA,2018,02,1.07,0.11
ARIZONA,2018,03,0.44,-0.28
ARIZONA,2018,04,0.04,-0.34
ARIZONA,2018,05,0.15,-0.12
ARIZONA,2018,06,0.33,0.11
ARIZONA,2018,07,2.59,0.78
ARIZONA,2018,08,2.0,0.06
ARIZONA,2018,09,0.81,-0.28
ARIZONA,2018,10,2.7,1.77
ARIZONA,2018,11,0.27,-0.35
ARIZONA,2018,12,0.71,-0.34
ARIZONA,2019,01,1.5,0.41
ARKANSAS,1996,01,2.81,-0.55
ARKANSAS,1996,02,1.63,-2.38
ARKANSAS,1996,03,3.64,-1.47
ARKANSAS,1996,04,4.52,-0.57
ARKANSAS,1996,05,3.85,-1.88
ARKANSAS,1996,06,4.34,0.7
ARKANSAS,1996,07,5.44,1.5
ARKANSAS,1996,08,3.02,-0.72
ARKANSAS,1996,09,6.09,2.41
ARKANSAS,1996,10,3.99,-0.22
ARKANSAS,1996,11,8.89,4.33
ARKANSAS,1996,12,3.53,-1.51
ARKANSAS,1997,01,2.93,-0.43
ARKANSAS,1997,02,6.02,2.01
ARKANSAS,1997,03,6.15,1.04
ARKANSAS,1997,04,7.72,2.63
ARKANSAS,1997,05,3.92,-1.81
ARKANSAS,1997,06,5.07,1.43
ARKANSAS,1997,07,1.99,-1.95
ARKANSAS,1997,08,3.17,-0.57
ARKANSAS,1997,09,2.9,-0.78
ARKANSAS,1997,10,4.52,0.31
ARKANSAS,1997,11,3.47,-1.09
ARKANSAS,1997,12,4.07,-0.97
ARKANSAS,1998,01,6.33,2.97
ARKANSAS,1998,02,4.77,0.76
ARKANSAS,1998,03,5.79,0.68
ARKANSAS,1998,04,3.23,-1.86
ARKANSAS,1998,05,3.41,-2.32
ARKANSAS,1998,06,2.0,-1.64
ARKANSAS,1998,07,3.47,-0.47
ARKANSAS,1998,08,3.24,-0.5
ARKANSAS,1998,09,4.24,0.56
ARKANSAS,1998,10,5.11,0.9
ARKANSAS,1998,11,3.01,-1.55
ARKANSAS,1998,12,4.57,-0.47
ARKANSAS,1999,01,6.89,3.53
ARKANSAS,1999,02,1.33,-2.68
ARKANSAS,1999,03,5.33,0.22
ARKANSAS,1999,04,5.59,0.5
ARKANSAS,1999,05,4.62,-1.11
ARKANSAS,1999,06,5.35,1.71
ARKANSAS,1999,07,1.79,-2.15
ARKANSAS,1999,08,1.2,-2.54
ARKANSAS,1999,09,1.77,-1.91
ARKANSAS,1999,10,3.12,-1.09
ARKANSAS,1999,11,1.85,-2.71
ARKANSAS,1999,12,4.96,-0.08
ARKANSAS,2000,01,2.32,-1.04
ARKANSAS,2000,02,2.66,-1.35
ARKANSAS,2000,03,4.24,-0.87
ARKANSAS,2000,04,3.61,-1.48
ARKANSAS,2000,05,6.69,0.96
ARKANSAS,2000,06,6.93,3.29
ARKANSAS,2000,07,1.54,-2.4
ARKANSAS,2000,08,0.43,-3.31
ARKANSAS,2000,09,2.95,-0.73
ARKANSAS,2000,10,1.76,-2.45
ARKANSAS,2000,11,8.97,4.41
ARKANSAS,2000,12,3.6,-1.44
ARKANSAS,2001,01,3.48,0.12
ARKANSAS,2001,02,8.07,4.06
ARKANSAS,2001,03,3.78,-1.33
ARKANSAS,2001,04,2.34,-2.75
ARKANSAS,2001,05,5.64,-0.09
ARKANSAS,2001,06,3.15,-0.49
ARKANSAS,2001,07,2.58,-1.36
ARKANSAS,2001,08,2.84,-0.9
ARKANSAS,2001,09,3.65,-0.03
ARKANSAS,2001,10,5.82,1.61
ARKANSAS,2001,11,5.78,1.22
ARKANSAS,2001,12,8.28,3.24
ARKANSAS,2002,01,4.01,0.65
ARKANSAS,2002,02,2.73,-1.28
ARKANSAS,2002,03,9.5,4.39
ARKANSAS,2002,04,3.33,-1.76
ARKANSAS,2002,05,6.16,0.43
ARKANSAS,2002,06,2.57,-1.07
ARKANSAS,2002,07,4.13,0.19
ARKANSAS,2002,08,3.36,-0.38
ARKANSAS,2002,09,2.98,-0.7
ARKANSAS,2002,10,4.35,0.14
ARKANSAS,2002,11,2.17,-2.39
ARKANSAS,2002,12,7.54,2.5
ARKANSAS,2003,01,0.67,-2.69
ARKANSAS,2003,02,6.05,2.04
ARKANSAS,2003,03,2.01,-3.1
ARKANSAS,2003,04,2.6,-2.49
ARKANSAS,2003,05,6.87,1.14
ARKANSAS,2003,06,5.75,2.11
ARKANSAS,2003,07,3.56,-0.38
ARKANSAS,2003,08,2.93,-0.81
ARKANSAS,2003,09,3.6,-0.08
ARKANSAS,2003,10,2.43,-1.78
ARKANSAS,2003,11,5.26,0.7
ARKANSAS,2003,12,3.11,-1.93
ARKANSAS,2004,01,3.26,-0.1
ARKANSAS,2004,02,4.1,0.09
ARKANSAS,2004,03,4.48,-0.63
ARKANSAS,2004,04,6.28,1.19
ARKANSAS,2004,05,5.0,-0.73
ARKANSAS,2004,06,5.81,2.17
ARKANSAS,2004,07,4.71,0.77
ARKANSAS,2004,08,2.76,-0.98
ARKANSAS,2004,09,0.4,-3.28
ARKANSAS,2004,10,8.17,3.96
ARKANSAS,2004,11,8.99,4.43
ARKANSAS,2004,12,3.06,-1.98
ARKANSAS,2005,01,5.32,1.96
ARKANSAS,2005,02,2.84,-1.17
ARKANSAS,2005,03,3.5,-1.61
ARKANSAS,2005,04,4.12,-0.97
ARKANSAS,2005,05,1.93,-3.8
ARKANSAS,2005,06,1.98,-1.66
ARKANSAS,2005,07,4.05,0.11
ARKANSAS,2005,08,3.04,-0.7
ARKANSAS,2005,09,4.77,1.09
ARKANSAS,2005,10,0.26,-3.95
