YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"CONDITION in PCT VERY POOR","CONDITION in PCT GOOD","CONDITION in PCT FAIR","CONDITION in PCT POOR","CONDITION in PCT EXCELLENT","CONDITION, 5 YEAR AVG in PCT EXCELLENT","CONDITION, 5 YEAR AVG in PCT GOOD","CONDITION, 5 YEAR AVG in PCT POOR","CONDITION, 5 YEAR AVG in PCT VERY POOR","CONDITION, 5 YEAR AVG in PCT FAIR","CONDITION, PREVIOUS YEAR in PCT POOR","CONDITION, PREVIOUS YEAR in PCT GOOD","CONDITION, PREVIOUS YEAR in PCT VERY POOR","CONDITION, PREVIOUS YEAR in PCT EXCELLENT","CONDITION, PREVIOUS YEAR in PCT FAIR"
1996,ARKANSAS,05,"  ","   ","WEEK #33",SOYBEANS,4,44,27,11,14," "," "," "," "," "," "," "," "," "," "
1996,ARKANSAS,05,"  ","   ","WEEK #34",SOYBEANS,3,42,29,12,14," "," "," "," "," "," "," "," "," "," "
1996,ARKANSAS,05,"  ","   ","WEEK #35",SOYBEANS,4,39,32,14,11," "," "," "," "," "," "," "," "," "," "
1996,ARKANSAS,05,"  ","   ","WEEK #36",SOYBEANS,4,38,31,13,14," "," "," "," "," "," "," "," "," "," "
1996,ARKANSAS,05,"  ","   ","WEEK #37",SOYBEANS,3,39,29,13,16," "," "," "," "," "," "," "," "," "," "
1996,ARKANSAS,05,"  ","   ","WEEK #38",SOYBEANS,4,38,30,13,15," "," "," "," "," "," "," "," "," "," "
1996,ARKANSAS,05,"  ","   ","WEEK #39",SOYBEANS,3,39,28,12,18," "," "," "," "," "," "," "," "," "," "
1996,ARKANSAS,05,"  ","   ","WEEK #40",SOYBEANS,2,41,27,12,18," "," "," "," "," "," "," "," "," "," "
1996,ARKANSAS,05,"  ","   ","WEEK #41",SOYBEANS,3,40,28,11,18," "," "," "," "," "," "," "," "," "," "
1996,GEORGIA,13,"  ","   ","WEEK #26",SOYBEANS,1,64,28,5,2," "," "," "," "," "," "," "," "," "," "
1996,GEORGIA,13,"  ","   ","WEEK #27",SOYBEANS,11,35,42,11,1," "," "," "," "," "," "," "," "," "," "
1996,GEORGIA,13,"  ","   ","WEEK #28",SOYBEANS,4,47,38,9,2," "," "," "," "," "," "," "," "," "," "
1996,GEORGIA,13,"  ","   ","WEEK #29",SOYBEANS,2,48,37,10,3," "," "," "," "," "," "," "," "," "," "
1996,GEORGIA,13,"  ","   ","WEEK #30",SOYBEANS,2,49,35,8,6," "," "," "," "," "," "," "," "," "," "
1996,GEORGIA,13,"  ","   ","WEEK #31",SOYBEANS,3,47,36,11,3," "," "," "," "," "," "," "," "," "," "
1996,GEORGIA,13,"  ","   ","WEEK #32",SOYBEANS,3,48,37,7,5," "," "," "," "," "," "," "," "," "," "
1996,GEORGIA,13,"  ","   ","WEEK #33",SOYBEANS,1,55,30,7,7," "," "," "," "," "," "," "," "," "," "
1996,GEORGIA,13,"  ","   ","WEEK #34",SOYBEANS,2,57,30,6,5," "," "," "," "," "," "," "," "," "," "
1996,GEORGIA,13,"  ","   ","WEEK #35",SOYBEANS,2,55,29,5,9," "," "," "," "," "," "," "," "," "," "
1996,GEORGIA,13,"  ","   ","WEEK #36",SOYBEANS,1,52,25,4,18," "," "," "," "," "," "," "," "," "," "
1996,GEORGIA,13,"  ","   ","WEEK #37",SOYBEANS,1,52,25,4,18," "," "," "," "," "," "," "," "," "," "
1996,GEORGIA,13,"  ","   ","WEEK #38",SOYBEANS," ",49,27,7,17," "," "," "," "," "," "," "," "," "," "
1996,GEORGIA,13,"  ","   ","WEEK #39",SOYBEANS,2,52,29,8,9," "," "," "," "," "," "," "," "," "," "
1996,GEORGIA,13,"  ","   ","WEEK #40",SOYBEANS,2,47,30,5,16," "," "," "," "," "," "," "," "," "," "
1996,GEORGIA,13,"  ","   ","WEEK #41",SOYBEANS,1,47,30,4,18," "," "," "," "," "," "," "," "," "," "
1996,ILLINOIS,17,"  ","   ","WEEK #26",SOYBEANS,1,41,43,9,6," "," "," "," "," "," "," "," "," "," "
1996,ILLINOIS,17,"  ","   ","WEEK #27",SOYBEANS,2,43,40,9,6," "," "," "," "," "," "," "," "," "," "
1996,ILLINOIS,17,"  ","   ","WEEK #28",SOYBEANS,4,30,48,15,3," "," "," "," "," "," "," "," "," "," "
1996,ILLINOIS,17,"  ","   ","WEEK #29",SOYBEANS,5,32,42,18,3," "," "," "," "," "," "," "," "," "," "
1996,ILLINOIS,17,"  ","   ","WEEK #30",SOYBEANS,3,32,42,15,8," "," "," "," "," "," "," "," "," "," "
1996,ILLINOIS,17,"  ","   ","WEEK #31",SOYBEANS,6,36,38,16,4," "," "," "," "," "," "," "," "," "," "
1996,ILLINOIS,17,"  ","   ","WEEK #32",SOYBEANS,4,34,41,15,6," "," "," "," "," "," "," "," "," "," "
1996,ILLINOIS,17,"  ","   ","WEEK #33",SOYBEANS,6,30,42,20,2," "," "," "," "," "," "," "," "," "," "
1996,ILLINOIS,17,"  ","   ","WEEK #34",SOYBEANS,7,33,39,16,5," "," "," "," "," "," "," "," "," "," "
1996,ILLINOIS,17,"  ","   ","WEEK #35",SOYBEANS,6,35,37,16,6," "," "," "," "," "," "," "," "," "," "
1996,ILLINOIS,17,"  ","   ","WEEK #36",SOYBEANS,7,35,37,17,4," "," "," "," "," "," "," "," "," "," "
1996,ILLINOIS,17,"  ","   ","WEEK #37",SOYBEANS,6,31,41,18,4," "," "," "," "," "," "," "," "," "," "
1996,ILLINOIS,17,"  ","   ","WEEK #38",SOYBEANS,6,33,42,15,4," "," "," "," "," "," "," "," "," "," "
1996,ILLINOIS,17,"  ","   ","WEEK #39",SOYBEANS,5,36,40,13,6," "," "," "," "," "," "," "," "," "," "
1996,ILLINOIS,17,"  ","   ","WEEK #40",SOYBEANS,5,36,40,13,6," "," "," "," "," "," "," "," "," "," "
1996,ILLINOIS,17,"  ","   ","WEEK #41",SOYBEANS,5,36,40,13,6," "," "," "," "," "," "," "," "," "," "
1996,INDIANA,18,"  ","   ","WEEK #26",SOYBEANS,2,37,45,11,5," "," "," "," "," "," "," "," "," "," "
1996,INDIANA,18,"  ","   ","WEEK #27",SOYBEANS,3,36,42,15,4," "," "," "," "," "," "," "," "," "," "
1996,INDIANA,18,"  ","   ","WEEK #28",SOYBEANS,5,34,41,18,2," "," "," "," "," "," "," "," "," "," "
1996,INDIANA,18,"  ","   ","WEEK #29",SOYBEANS,4,32,41,17,6," "," "," "," "," "," "," "," "," "," "
1996,INDIANA,18,"  ","   ","WEEK #30",SOYBEANS,3,36,42,14,5," "," "," "," "," "," "," "," "," "," "
1996,INDIANA,18,"  ","   ","WEEK #31",SOYBEANS,3,40,38,13,6," "," "," "," "," "," "," "," "," "," "
1996,INDIANA,18,"  ","   ","WEEK #32",SOYBEANS,3,37,41,13,6," "," "," "," "," "," "," "," "," "," "
1996,INDIANA,18,"  ","   ","WEEK #33",SOYBEANS,6,30,42,17,5," "," "," "," "," "," "," "," "," "," "
1996,INDIANA,18,"  ","   ","WEEK #34",SOYBEANS,5,32,42,17,4," "," "," "," "," "," "," "," "," "," "
1996,INDIANA,18,"  ","   ","WEEK #35",SOYBEANS,5,31,42,17,5," "," "," "," "," "," "," "," "," "," "
1996,INDIANA,18,"  ","   ","WEEK #36",SOYBEANS,6,31,40,19,4," "," "," "," "," "," "," "," "," "," "
1996,INDIANA,18,"  ","   ","WEEK #37",SOYBEANS,6,31,43,16,4," "," "," "," "," "," "," "," "," "," "
1996,INDIANA,18,"  ","   ","WEEK #38",SOYBEANS,4,37,40,17,2," "," "," "," "," "," "," "," "," "," "
1996,INDIANA,18,"  ","   ","WEEK #39",SOYBEANS,5,37,42,13,3," "," "," "," "," "," "," "," "," "," "
1996,INDIANA,18,"  ","   ","WEEK #40",SOYBEANS,3,37,41,15,4," "," "," "," "," "," "," "," "," "," "
1996,INDIANA,18,"  ","   ","WEEK #41",SOYBEANS,3,37,43,13,4," "," "," "," "," "," "," "," "," "," "
1996,IOWA,19,"  ","   ","WEEK #26",SOYBEANS,1,55,28,7,9," "," "," "," "," "," "," "," "," "," "
1996,IOWA,19,"  ","   ","WEEK #27",SOYBEANS,1,52,29,6,12," "," "," "," "," "," "," "," "," "," "
1996,IOWA,19,"  ","   ","WEEK #28",SOYBEANS,1,50,26,7,16," "," "," "," "," "," "," "," "," "," "
1996,IOWA,19,"  ","   ","WEEK #29",SOYBEANS,2,48,28,6,16," "," "," "," "," "," "," "," "," "," "
1996,IOWA,19,"  ","   ","WEEK #30",SOYBEANS,1,51,26,7,15," "," "," "," "," "," "," "," "," "," "
1996,IOWA,19,"  ","   ","WEEK #31",SOYBEANS,2,50,27,7,14," "," "," "," "," "," "," "," "," "," "
1996,IOWA,19,"  ","   ","WEEK #32",SOYBEANS,1,54,24,7,14," "," "," "," "," "," "," "," "," "," "
1996,IOWA,19,"  ","   ","WEEK #33",SOYBEANS,1,52,23,7,17," "," "," "," "," "," "," "," "," "," "
1996,IOWA,19,"  ","   ","WEEK #34",SOYBEANS,1,53,24,7,15," "," "," "," "," "," "," "," "," "," "
1996,IOWA,19,"  ","   ","WEEK #35",SOYBEANS,1,53,25,5,16," "," "," "," "," "," "," "," "," "," "
1996,IOWA,19,"  ","   ","WEEK #36",SOYBEANS,1,54,21,6,18," "," "," "," "," "," "," "," "," "," "
1996,IOWA,19,"  ","   ","WEEK #37",SOYBEANS,1,50,27,6,16," "," "," "," "," "," "," "," "," "," "
1996,IOWA,19,"  ","   ","WEEK #38",SOYBEANS,1,55,26,6,12," "," "," "," "," "," "," "," "," "," "
1996,IOWA,19,"  ","   ","WEEK #39",SOYBEANS,1,52,27,5,15," "," "," "," "," "," "," "," "," "," "
1996,IOWA,19,"  ","   ","WEEK #40",SOYBEANS,1,57,23,4,15," "," "," "," "," "," "," "," "," "," "
1996,IOWA,19,"  ","   ","WEEK #41",SOYBEANS,1,53,26,4,16," "," "," "," "," "," "," "," "," "," "
1996,KANSAS,20,"  ","   ","WEEK #26",SOYBEANS," ",73,16,1,10," "," "," "," "," "," "," "," "," "," "
1996,KANSAS,20,"  ","   ","WEEK #27",SOYBEANS," ",68,19,1,12," "," "," "," "," "," "," "," "," "," "
1996,KANSAS,20,"  ","   ","WEEK #28",SOYBEANS,1,68,14,2,15," "," "," "," "," "," "," "," "," "," "
1996,KANSAS,20,"  ","   ","WEEK #29",SOYBEANS," ",60,23,3,14," "," "," "," "," "," "," "," "," "," "
1996,KANSAS,20,"  ","   ","WEEK #30",SOYBEANS,1,60,19,2,18," "," "," "," "," "," "," "," "," "," "
1996,KANSAS,20,"  ","   ","WEEK #31",SOYBEANS," ",64,16,2,18," "," "," "," "," "," "," "," "," "," "
1996,KANSAS,20,"  ","   ","WEEK #32",SOYBEANS," ",55,20,4,21," "," "," "," "," "," "," "," "," "," "
1996,KANSAS,20,"  ","   ","WEEK #33",SOYBEANS,1,54,19,4,22," "," "," "," "," "," "," "," "," "," "
1996,KANSAS,20,"  ","   ","WEEK #34",SOYBEANS,1,61,14,2,22," "," "," "," "," "," "," "," "," "," "
1996,KANSAS,20,"  ","   ","WEEK #35",SOYBEANS," ",57,16,2,25," "," "," "," "," "," "," "," "," "," "
1996,KANSAS,20,"  ","   ","WEEK #36",SOYBEANS," ",59,13,1,27," "," "," "," "," "," "," "," "," "," "
1996,KANSAS,20,"  ","   ","WEEK #37",SOYBEANS," ",58,17,1,24," "," "," "," "," "," "," "," "," "," "
1996,KANSAS,20,"  ","   ","WEEK #38",SOYBEANS," ",62,14,2,22," "," "," "," "," "," "," "," "," "," "
1996,KANSAS,20,"  ","   ","WEEK #39",SOYBEANS," ",58,16,1,25," "," "," "," "," "," "," "," "," "," "
1996,KANSAS,20,"  ","   ","WEEK #40",SOYBEANS," ",63,12,1,24," "," "," "," "," "," "," "," "," "," "
1996,KANSAS,20,"  ","   ","WEEK #41",SOYBEANS," ",55,16,1,28," "," "," "," "," "," "," "," "," "," "
1996,KENTUCKY,21,"  ","   ","WEEK #26",SOYBEANS," ",59,20,3,18," "," "," "," "," "," "," "," "," "," "
1996,KENTUCKY,21,"  ","   ","WEEK #27",SOYBEANS,1,44,26,5,24," "," "," "," "," "," "," "," "," "," "
1996,KENTUCKY,21,"  ","   ","WEEK #28",SOYBEANS,1,54,29,3,13," "," "," "," "," "," "," "," "," "," "
1996,KENTUCKY,21,"  ","   ","WEEK #29",SOYBEANS,1,46,33,7,13," "," "," "," "," "," "," "," "," "," "
1996,KENTUCKY,21,"  ","   ","WEEK #30",SOYBEANS,1,51,29,6,13," "," "," "," "," "," "," "," "," "," "
1996,KENTUCKY,21,"  ","   ","WEEK #31",SOYBEANS,1,63,18,3,15," "," "," "," "," "," "," "," "," "," "
1996,KENTUCKY,21,"  ","   ","WEEK #32",SOYBEANS,1,58,16,3,22," "," "," "," "," "," "," "," "," "," "
1996,KENTUCKY,21,"  ","   ","WEEK #33",SOYBEANS,1,58,20,6,15," "," "," "," "," "," "," "," "," "," "
1996,KENTUCKY,21,"  ","   ","WEEK #34",SOYBEANS,1,58,19,4,18," "," "," "," "," "," "," "," "," "," "
1996,KENTUCKY,21,"  ","   ","WEEK #35",SOYBEANS,1,60,17,6,16," "," "," "," "," "," "," "," "," "," "
1996,KENTUCKY,21,"  ","   ","WEEK #36",SOYBEANS,1,54,21,5,19," "," "," "," "," "," "," "," "," "," "
1996,KENTUCKY,21,"  ","   ","WEEK #37",SOYBEANS,1,56,30,4,9," "," "," "," "," "," "," "," "," "," "
1996,KENTUCKY,21,"  ","   ","WEEK #38",SOYBEANS," ",54,21,3,22," "," "," "," "," "," "," "," "," "," "
1996,KENTUCKY,21,"  ","   ","WEEK #39",SOYBEANS," ",54,19,3,24," "," "," "," "," "," "," "," "," "," "
1996,KENTUCKY,21,"  ","   ","WEEK #40",SOYBEANS,1,54,25,3,17," "," "," "," "," "," "," "," "," "," "
1996,KENTUCKY,21,"  ","   ","WEEK #41",SOYBEANS," ",59,26,4,11," "," "," "," "," "," "," "," "," "," "
1996,LOUISIANA,22,"  ","   ","WEEK #26",SOYBEANS," ",58,31,3,8," "," "," "," "," "," "," "," "," "," "
1996,LOUISIANA,22,"  ","   ","WEEK #27",SOYBEANS," ",62,25,5,8," "," "," "," "," "," "," "," "," "," "
1996,LOUISIANA,22,"  ","   ","WEEK #28",SOYBEANS," ",47,39,6,8," "," "," "," "," "," "," "," "," "," "
1996,LOUISIANA,22,"  ","   ","WEEK #29",SOYBEANS," ",55,27,5,13," "," "," "," "," "," "," "," "," "," "
1996,LOUISIANA,22,"  ","   ","WEEK #30",SOYBEANS,1,59,26,6,8," "," "," "," "," "," "," "," "," "," "
1996,LOUISIANA,22,"  ","   ","WEEK #31",SOYBEANS," ",64,24,6,6," "," "," "," "," "," "," "," "," "," "
1996,LOUISIANA,22,"  ","   ","WEEK #32",SOYBEANS," ",67,23,2,8," "," "," "," "," "," "," "," "," "," "
1996,LOUISIANA,22,"  ","   ","WEEK #33",SOYBEANS," ",66,25,3,6," "," "," "," "," "," "," "," "," "," "
1996,LOUISIANA,22,"  ","   ","WEEK #34",SOYBEANS," ",52,31,1,16," "," "," "," "," "," "," "," "," "," "
1996,LOUISIANA,22,"  ","   ","WEEK #35",SOYBEANS," ",56,34,1,9," "," "," "," "," "," "," "," "," "," "
1996,LOUISIANA,22,"  ","   ","WEEK #36",SOYBEANS," ",65,25,1,9," "," "," "," "," "," "," "," "," "," "
1996,LOUISIANA,22,"  ","   ","WEEK #37",SOYBEANS," ",63,27,2,8," "," "," "," "," "," "," "," "," "," "
1996,LOUISIANA,22,"  ","   ","WEEK #38",SOYBEANS," ",62,26,2,10," "," "," "," "," "," "," "," "," "," "
1996,LOUISIANA,22,"  ","   ","WEEK #39",SOYBEANS," ",61,27,3,9," "," "," "," "," "," "," "," "," "," "
1996,LOUISIANA,22,"  ","   ","WEEK #40",SOYBEANS," ",64,24,3,9," "," "," "," "," "," "," "," "," "," "
1996,LOUISIANA,22,"  ","   ","WEEK #41",SOYBEANS,1,59,25,4,11," "," "," "," "," "," "," "," "," "," "
1996,MICHIGAN,26,"  ","   ","WEEK #26",SOYBEANS,7,38,31,14,10," "," "," "," "," "," "," "," "," "," "
1996,MICHIGAN,26,"  ","   ","WEEK #27",SOYBEANS,3,48,33,7,9," "," "," "," "," "," "," "," "," "," "
1996,MICHIGAN,26,"  ","   ","WEEK #28",SOYBEANS,5,39,30,11,15," "," "," "," "," "," "," "," "," "," "
1996,MICHIGAN,26,"  ","   ","WEEK #29",SOYBEANS,6,37,31,15,11," "," "," "," "," "," "," "," "," "," "
1996,MICHIGAN,26,"  ","   ","WEEK #30",SOYBEANS,8,25,43,19,5," "," "," "," "," "," "," "," "," "," "
1996,MICHIGAN,26,"  ","   ","WEEK #31",SOYBEANS,6,41,31,12,10," "," "," "," "," "," "," "," "," "," "
1996,MICHIGAN,26,"  ","   ","WEEK #32",SOYBEANS,5,48,24,14,9," "," "," "," "," "," "," "," "," "," "
1996,MICHIGAN,26,"  ","   ","WEEK #33",SOYBEANS,7,31,35,23,4," "," "," "," "," "," "," "," "," "," "
1996,MICHIGAN,26,"  ","   ","WEEK #34",SOYBEANS,6,30,37,21,6," "," "," "," "," "," "," "," "," "," "
1996,MICHIGAN,26,"  ","   ","WEEK #35",SOYBEANS,7,39,31,20,3," "," "," "," "," "," "," "," "," "," "
1996,MICHIGAN,26,"  ","   ","WEEK #36",SOYBEANS,10,27,40,19,4," "," "," "," "," "," "," "," "," "," "
1996,MICHIGAN,26,"  ","   ","WEEK #37",SOYBEANS,10,30,37,20,3," "," "," "," "," "," "," "," "," "," "
1996,MICHIGAN,26,"  ","   ","WEEK #38",SOYBEANS,10,37,35,15,3," "," "," "," "," "," "," "," "," "," "
1996,MICHIGAN,26,"  ","   ","WEEK #39",SOYBEANS,8,28,41,18,5," "," "," "," "," "," "," "," "," "," "
1996,MICHIGAN,26,"  ","   ","WEEK #40",SOYBEANS,6,37,36,15,6," "," "," "," "," "," "," "," "," "," "
1996,MICHIGAN,26,"  ","   ","WEEK #41",SOYBEANS,8,33,31,22,6," "," "," "," "," "," "," "," "," "," "
1996,MINNESOTA,27,"  ","   ","WEEK #26",SOYBEANS," ",54,35,6,5," "," "," "," "," "," "," "," "," "," "
1996,MINNESOTA,27,"  ","   ","WEEK #27",SOYBEANS,2,52,34,8,4," "," "," "," "," "," "," "," "," "," "
1996,MINNESOTA,27,"  ","   ","WEEK #28",SOYBEANS,1,52,35,5,7," "," "," "," "," "," "," "," "," "," "
1996,MINNESOTA,27,"  ","   ","WEEK #29",SOYBEANS,1,49,37,7,6," "," "," "," "," "," "," "," "," "," "
1996,MINNESOTA,27,"  ","   ","WEEK #30",SOYBEANS,1,47,40,8,4," "," "," "," "," "," "," "," "," "," "
1996,MINNESOTA,27,"  ","   ","WEEK #31",SOYBEANS,2,44,40,8,6," "," "," "," "," "," "," "," "," "," "
1996,MINNESOTA,27,"  ","   ","WEEK #32",SOYBEANS,1,51,34,7,7," "," "," "," "," "," "," "," "," "," "
1996,MINNESOTA,27,"  ","   ","WEEK #33",SOYBEANS,1,51,37,6,5," "," "," "," "," "," "," "," "," "," "
1996,MINNESOTA,27,"  ","   ","WEEK #34",SOYBEANS,1,53,33,7,6," "," "," "," "," "," "," "," "," "," "
1996,MINNESOTA,27,"  ","   ","WEEK #35",SOYBEANS,1,50,35,8,6," "," "," "," "," "," "," "," "," "," "
1996,MINNESOTA,27,"  ","   ","WEEK #36",SOYBEANS,3,45,40,8,4," "," "," "," "," "," "," "," "," "," "
1996,MINNESOTA,27,"  ","   ","WEEK #37",SOYBEANS,1,42,41,10,6," "," "," "," "," "," "," "," "," "," "
1996,MINNESOTA,27,"  ","   ","WEEK #38",SOYBEANS,3,44,40,10,3," "," "," "," "," "," "," "," "," "," "
1996,MINNESOTA,27,"  ","   ","WEEK #39",SOYBEANS,3,45,37,10,5," "," "," "," "," "," "," "," "," "," "
1996,MINNESOTA,27,"  ","   ","WEEK #40",SOYBEANS,2,47,37,8,6," "," "," "," "," "," "," "," "," "," "
1996,MINNESOTA,27,"  ","   ","WEEK #41",SOYBEANS,1,52,30,7,10," "," "," "," "," "," "," "," "," "," "
1996,MISSISSIPPI,28,"  ","   ","WEEK #26",SOYBEANS," ",48,38,5,9," "," "," "," "," "," "," "," "," "," "
1996,MISSISSIPPI,28,"  ","   ","WEEK #27",SOYBEANS," ",49,34,7,10," "," "," "," "," "," "," "," "," "," "
1996,MISSISSIPPI,28,"  ","   ","WEEK #28",SOYBEANS,5,48,31,6,10," "," "," "," "," "," "," "," "," "," "
1996,MISSISSIPPI,28,"  ","   ","WEEK #29",SOYBEANS,4,43,34,8,11," "," "," "," "," "," "," "," "," "," "
1996,MISSISSIPPI,28,"  ","   ","WEEK #30",SOYBEANS,2,54,26,8,10," "," "," "," "," "," "," "," "," "," "
1996,MISSISSIPPI,28,"  ","   ","WEEK #31",SOYBEANS,2,55,25,8,10," "," "," "," "," "," "," "," "," "," "
1996,MISSISSIPPI,28,"  ","   ","WEEK #32",SOYBEANS,1,54,24,5,16," "," "," "," "," "," "," "," "," "," "
1996,MISSISSIPPI,28,"  ","   ","WEEK #33",SOYBEANS,3,54,26,7,10," "," "," "," "," "," "," "," "," "," "
1996,MISSISSIPPI,28,"  ","   ","WEEK #34",SOYBEANS,3,47,26,12,12," "," "," "," "," "," "," "," "," "," "
1996,MISSISSIPPI,28,"  ","   ","WEEK #35",SOYBEANS,1,58,24,4,13," "," "," "," "," "," "," "," "," "," "
1996,MISSISSIPPI,28,"  ","   ","WEEK #36",SOYBEANS,3,56,23,8,10," "," "," "," "," "," "," "," "," "," "
1996,MISSISSIPPI,28,"  ","   ","WEEK #37",SOYBEANS,1,57,25,4,13," "," "," "," "," "," "," "," "," "," "
1996,MISSISSIPPI,28,"  ","   ","WEEK #38",SOYBEANS,1,70,19,2,8," "," "," "," "," "," "," "," "," "," "
1996,MISSISSIPPI,28,"  ","   ","WEEK #39",SOYBEANS,1,66,23,4,6," "," "," "," "," "," "," "," "," "," "
1996,MISSISSIPPI,28,"  ","   ","WEEK #40",SOYBEANS,1,59,29,5,6," "," "," "," "," "," "," "," "," "," "
1996,MISSISSIPPI,28,"  ","   ","WEEK #41",SOYBEANS,1,54,29,6,10," "," "," "," "," "," "," "," "," "," "
1996,MISSOURI,29,"  ","   ","WEEK #26",SOYBEANS,1,42,44,6,7," "," "," "," "," "," "," "," "," "," "
1996,MISSOURI,29,"  ","   ","WEEK #27",SOYBEANS,1,44,41,9,5," "," "," "," "," "," "," "," "," "," "
1996,MISSOURI,29,"  ","   ","WEEK #28",SOYBEANS,1,46,38,8,7," "," "," "," "," "," "," "," "," "," "
1996,MISSOURI,29,"  ","   ","WEEK #29",SOYBEANS,3,43,37,12,5," "," "," "," "," "," "," "," "," "," "
1996,MISSOURI,29,"  ","   ","WEEK #30",SOYBEANS,1,45,34,11,9," "," "," "," "," "," "," "," "," "," "
1996,MISSOURI,29,"  ","   ","WEEK #31",SOYBEANS,1,45,36,9,9," "," "," "," "," "," "," "," "," "," "
1996,MISSOURI,29,"  ","   ","WEEK #32",SOYBEANS," ",42,40,9,9," "," "," "," "," "," "," "," "," "," "
1996,MISSOURI,29,"  ","   ","WEEK #33",SOYBEANS,2,46,30,12,10," "," "," "," "," "," "," "," "," "," "
1996,MISSOURI,29,"  ","   ","WEEK #34",SOYBEANS,3,47,30,10,10," "," "," "," "," "," "," "," "," "," "
1996,MISSOURI,29,"  ","   ","WEEK #35",SOYBEANS,3,46,31,11,9," "," "," "," "," "," "," "," "," "," "
1996,MISSOURI,29,"  ","   ","WEEK #36",SOYBEANS,2,44,32,12,10," "," "," "," "," "," "," "," "," "," "
1996,MISSOURI,29,"  ","   ","WEEK #37",SOYBEANS,3,40,33,14,10," "," "," "," "," "," "," "," "," "," "
1996,MISSOURI,29,"  ","   ","WEEK #38",SOYBEANS,2,43,36,9,10," "," "," "," "," "," "," "," "," "," "
