YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"AREA HARVESTED in ACRES","AREA PLANTED in ACRES","PRODUCTION in BU","YIELD in BU / ACRE","PRODUCTION in $","PRICE RECEIVED in $ / BU"
1998,MISSOURI,29,"  ","   ",YEAR,SOYBEANS,"5,000,000","5,100,000","170,000,000",34,"833,000,000"," "
1998,MISSOURI,29,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.9
1998,NEBRASKA,31,"  ","   ",YEAR,SOYBEANS,"3,750,000","3,800,000","165,000,000",44,"796,950,000"," "
1998,NEBRASKA,31,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.83
1998,"NEW JERSEY",34,"  ","   ",YEAR,SOYBEANS,"113,000","115,000","3,164,000",28,"16,453,000"," "
1998,"NEW JERSEY",34,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.2
1998,"NEW YORK",36,"  ","   ",YEAR,SOYBEANS,"97,000","100,000","3,977,000",41,"20,283,000"," "
1998,"NEW YORK",36,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.1
1998,"NORTH CAROLINA",37,"  ","   ",YEAR,SOYBEANS,"1,415,000","1,475,000","38,205,000",27,"192,171,000"," "
1998,"NORTH CAROLINA",37,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.03
1998,"NORTH DAKOTA",38,"  ","   ",YEAR,SOYBEANS,"1,475,000","1,500,000","47,200,000",32,"219,008,000"," "
1998,"NORTH DAKOTA",38,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.64
1998,OHIO,39,"  ","   ",YEAR,SOYBEANS,"4,390,000","4,400,000","193,160,000",44,"963,868,000"," "
1998,OHIO,39,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.99
1998,OKLAHOMA,40,"  ","   ",YEAR,SOYBEANS,"340,000","470,000","6,120,000",18,"29,376,000"," "
1998,OKLAHOMA,40,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.8
1998,PENNSYLVANIA,42,"  ","   ",YEAR,SOYBEANS,"395,000","400,000","15,800,000",40,"78,210,000"," "
1998,PENNSYLVANIA,42,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.95
1998,"SOUTH CAROLINA",45,"  ","   ",YEAR,SOYBEANS,"500,000","540,000","10,500,000",21,"52,500,000"," "
1998,"SOUTH CAROLINA",45,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5
1998,"SOUTH DAKOTA",46,"  ","   ",YEAR,SOYBEANS,"3,400,000","3,450,000","132,600,000",39,"609,960,000"," "
1998,"SOUTH DAKOTA",46,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.6
1998,TENNESSEE,47,"  ","   ",YEAR,SOYBEANS,"1,210,000","1,250,000","35,090,000",29,"188,433,000"," "
1998,TENNESSEE,47,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.37
1998,TEXAS,48,"  ","   ",YEAR,SOYBEANS,"270,000","440,000","5,940,000",22,"26,730,000"," "
1998,TEXAS,48,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.5
1998,VIRGINIA,51,"  ","   ",YEAR,SOYBEANS,"480,000","500,000","11,040,000",23,"58,512,000"," "
1998,VIRGINIA,51,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.3
1998,WISCONSIN,55,"  ","   ",YEAR,SOYBEANS,"1,100,000","1,150,000","51,700,000",47,"250,745,000"," "
1998,WISCONSIN,55,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.85
1999,ALABAMA,01,"  ","   ",YEAR,SOYBEANS,"200,000","240,000","3,200,000",16,"15,360,000"," "
1999,ALABAMA,01,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.8
1999,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"3,300,000","3,400,000","92,400,000",28,"442,596,000"," "
1999,ARKANSAS,05,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.79
1999,DELAWARE,10,"  ","   ",YEAR,SOYBEANS,"201,000","205,000","5,427,000",27,"25,453,000"," "
1999,DELAWARE,10,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.69
1999,FLORIDA,12,"  ","   ",YEAR,SOYBEANS,"19,000","20,000","608,000",32,"2,827,000"," "
1999,FLORIDA,12,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.65
1999,GEORGIA,13,"  ","   ",YEAR,SOYBEANS,"190,000","220,000","3,610,000",19,"17,292,000"," "
1999,GEORGIA,13,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.79
1999,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"10,550,000","10,600,000","443,100,000",42,"2,104,725,000"," "
1999,ILLINOIS,17,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.75
1999,INDIANA,18,"  ","   ",YEAR,SOYBEANS,"5,550,000","5,600,000","216,450,000",39,"1,019,480,000"," "
1999,INDIANA,18,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.71
1999,IOWA,19,"  ","   ",YEAR,SOYBEANS,"10,750,000","10,800,000","478,375,000",44.5,"2,167,039,000"," "
1999,IOWA,19,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.53
1999,KANSAS,20,"  ","   ",YEAR,SOYBEANS,"2,800,000","2,850,000","81,200,000",29,"367,836,000"," "
1999,KANSAS,20,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.53
1999,KENTUCKY,21,"  ","   ",YEAR,SOYBEANS,"1,160,000","1,200,000","24,360,000",21,"117,659,000"," "
1999,KENTUCKY,21,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.83
1999,LOUISIANA,22,"  ","   ",YEAR,SOYBEANS,"990,000","1,020,000","26,730,000",27,"135,521,000"," "
1999,LOUISIANA,22,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.07
1999,MARYLAND,24,"  ","   ",YEAR,SOYBEANS,"480,000","490,000","15,360,000",32,"71,578,000"," "
1999,MARYLAND,24,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.66
1999,MICHIGAN,26,"  ","   ",YEAR,SOYBEANS,"1,940,000","1,950,000","77,600,000",40,"357,736,000"," "
1999,MICHIGAN,26,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.61
1999,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"6,900,000","7,000,000","289,800,000",42,"1,280,916,000"," "
1999,MINNESOTA,27,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.42
1999,MISSISSIPPI,28,"  ","   ",YEAR,SOYBEANS,"1,900,000","1,950,000","44,650,000",23.5,"217,446,000"," "
1999,MISSISSIPPI,28,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.87
1999,MISSOURI,29,"  ","   ",YEAR,SOYBEANS,"5,350,000","5,400,000","147,125,000",27.5,"687,074,000"," "
1999,MISSOURI,29,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.67
1999,NEBRASKA,31,"  ","   ",YEAR,SOYBEANS,"4,250,000","4,300,000","180,625,000",42.5,"807,394,000"," "
1999,NEBRASKA,31,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.47
1999,"NEW JERSEY",34,"  ","   ",YEAR,SOYBEANS,"98,000","105,000","2,352,000",24,"10,819,000"," "
1999,"NEW JERSEY",34,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.6
1999,"NEW YORK",36,"  ","   ",YEAR,SOYBEANS,"128,000","130,000","4,736,000",37,"19,891,000"," "
1999,"NEW YORK",36,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.2
1999,"NORTH CAROLINA",37,"  ","   ",YEAR,SOYBEANS,"1,300,000","1,400,000","29,900,000",23,"137,839,000"," "
1999,"NORTH CAROLINA",37,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.61
1999,"NORTH DAKOTA",38,"  ","   ",YEAR,SOYBEANS,"1,340,000","1,350,000","46,900,000",35,"196,511,000"," "
1999,"NORTH DAKOTA",38,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.19
1999,OHIO,39,"  ","   ",YEAR,SOYBEANS,"4,500,000","4,600,000","162,000,000",36,"764,640,000"," "
1999,OHIO,39,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.72
1999,OKLAHOMA,40,"  ","   ",YEAR,SOYBEANS,"360,000","480,000","6,840,000",19,"29,754,000"," "
1999,OKLAHOMA,40,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.35
1999,PENNSYLVANIA,42,"  ","   ",YEAR,SOYBEANS,"350,000","370,000","10,150,000",29,"46,690,000"," "
1999,PENNSYLVANIA,42,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.6
1999,"SOUTH CAROLINA",45,"  ","   ",YEAR,SOYBEANS,"450,000","480,000","9,000,000",20,"42,300,000"," "
1999,"SOUTH CAROLINA",45,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.7
1999,"SOUTH DAKOTA",46,"  ","   ",YEAR,SOYBEANS,"4,070,000","4,100,000","146,520,000",36,"634,432,000"," "
1999,"SOUTH DAKOTA",46,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.33
1999,TENNESSEE,47,"  ","   ",YEAR,SOYBEANS,"1,200,000","1,250,000","22,800,000",19,"106,932,000"," "
1999,TENNESSEE,47,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.69
1999,TEXAS,48,"  ","   ",YEAR,SOYBEANS,"380,000","400,000","10,260,000",27,"43,092,000"," "
1999,TEXAS,48,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.2
1999,VIRGINIA,51,"  ","   ",YEAR,SOYBEANS,"440,000","470,000","11,880,000",27,"53,460,000"," "
1999,VIRGINIA,51,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.5
1999,WISCONSIN,55,"  ","   ",YEAR,SOYBEANS,"1,300,000","1,350,000","59,800,000",46,"281,060,000"," "
1999,WISCONSIN,55,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.7
2000,ALABAMA,01,"  ","   ",YEAR,SOYBEANS,"160,000","190,000","2,880,000",18,"13,680,000"," "
2000,ALABAMA,01,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.75
