"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2019","FIRST OF MAR","","STATE","MARYLAND","24","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","MICHIGAN","26","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","67,688,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","MICHIGAN","26","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","39,688,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","MICHIGAN","26","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","28,000,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","MINNESOTA","27","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","270,279,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","MINNESOTA","27","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","105,279,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","MINNESOTA","27","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","165,000,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","20,684,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","MISSOURI","29","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","133,505,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","MISSOURI","29","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","57,505,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","MISSOURI","29","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","76,000,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","MONTANA","30","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","MONTANA","30","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","NEBRASKA","31","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","216,605,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","NEBRASKA","31","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","136,605,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","NEBRASKA","31","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","80,000,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","NEVADA","32","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","NEVADA","32","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","NEW HAMPSHIRE","33","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","NEW HAMPSHIRE","33","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","NEW YORK","36","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","NEW YORK","36","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","NEW YORK","36","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","11,860,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","130,506,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","61,506,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","69,000,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","OHIO","39","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","170,443,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","OHIO","39","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","87,443,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","OHIO","39","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","83,000,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","5,709,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","OREGON","41","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","OREGON","41","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","OTHER STATES","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","259,650,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","OTHER STATES","","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","8,146,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","OTHER STATES","","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","110,000,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","6,097,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,727,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","157,806,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","71,806,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","86,000,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","TENNESSEE","47","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","TENNESSEE","47","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","11,083,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","TENNESSEE","47","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","TEXAS","48","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","TEXAS","48","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,843,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","TEXAS","48","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","UTAH","49","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","UTAH","49","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","VIRGINIA","51","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","VIRGINIA","51","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","VIRGINIA","51","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","WASHINGTON","53","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,482,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","WASHINGTON","53","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,482,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","WISCONSIN","55","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","71,195,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","WISCONSIN","55","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","50,195,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","WISCONSIN","55","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","21,000,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","WYOMING","56","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","WYOMING","56","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,783,080,000",""
"SURVEY","2019","FIRST OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,053,080,000",""
"SURVEY","2019","FIRST OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","730,000,000",""
"SURVEY","2019","FIRST OF JUN","","STATE","ALABAMA","01","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF JUN","","STATE","ALABAMA","01","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","5,918,000",""
"SURVEY","2019","FIRST OF JUN","","STATE","ALABAMA","01","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
