YEAR,LOCATION,WEEK_NUM,STATE_ANSI,FERTILIZER,APPLICATIONS_IN_LB_FERTILIZER,APPLICATIONS_IN_LB_/_ACRE_/_APPLICATION_AVG_FERTILIZER,APPLICATIONS_IN_LB_/_ACRE_/_YEAR_AVG_FERTILIZER,APPLICATIONS_IN_NUMBER_AVG_FERTILIZER,TREATED_IN_PCT_OF_AREA_PLANTED_AVG_FERTILIZER,AREA_OPERATED_IN_ACRES,AREA_OPERATED_IN_ACRES_/_OPERATION,OPERATIONS_IN_OPERATIONS,AREA_HARVESTED_IN_ACRES,AREA_PLANTED_IN_ACRES,PRODUCTION_IN_BU,PRODUCTION_IN_$,PRICE_RECEIVED_IN_$_/_BU,CONDITION_IN_PCT_VERY_POOR,CONDITION_IN_PCT_GOOD,CONDITION_IN_PCT_FAIR,CONDITION_IN_PCT_POOR,CONDITION_IN_PCT_EXCELLENT,CONDITION_5_YEAR_AVG_IN_PCT_EXCELLENT,CONDITION_5_YEAR_AVG_IN_PCT_GOOD,CONDITION_5_YEAR_AVG_IN_PCT_POOR,CONDITION_5_YEAR_AVG_IN_PCT_VERY_POOR,CONDITION_5_YEAR_AVG_IN_PCT_FAIR,CONDITION_PREVIOUS_YEAR_IN_PCT_POOR,CONDITION_PREVIOUS_YEAR_IN_PCT_GOOD,CONDITION_PREVIOUS_YEAR_IN_PCT_VERY_POOR,CONDITION_PREVIOUS_YEAR_IN_PCT_EXCELLENT,CONDITION_PREVIOUS_YEAR_IN_PCT_FAIR,YIELD_IN_BU_/_ACRE
1996,ARKANSAS,26,5,NITROGEN,8200000,26,26,1,9,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,NA,64,20,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,26,5,PHOSPHATE,76400000,46,48,1,45,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,NA,64,20,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,26,5,POTASH,90500000,60,60,1,43,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,NA,64,20,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,30,5,NITROGEN,8200000,26,26,1,9,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,3,43,31,13,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,30,5,PHOSPHATE,76400000,46,48,1,45,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,3,43,31,13,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,30,5,POTASH,90500000,60,60,1,43,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,3,43,31,13,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,35,5,NITROGEN,8200000,26,26,1,9,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,4,39,32,14,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,35,5,PHOSPHATE,76400000,46,48,1,45,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,4,39,32,14,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,35,5,POTASH,90500000,60,60,1,43,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,4,39,32,14,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,28,5,NITROGEN,8200000,26,26,1,9,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,2,46,30,9,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,28,5,PHOSPHATE,76400000,46,48,1,45,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,2,46,30,9,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,28,5,POTASH,90500000,60,60,1,43,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,2,46,30,9,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,39,5,NITROGEN,8200000,26,26,1,9,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,3,39,28,12,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,39,5,PHOSPHATE,76400000,46,48,1,45,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,3,39,28,12,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,39,5,POTASH,90500000,60,60,1,43,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,3,39,28,12,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,32,5,NITROGEN,8200000,26,26,1,9,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,3,45,27,11,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,32,5,PHOSPHATE,76400000,46,48,1,45,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,3,45,27,11,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,32,5,POTASH,90500000,60,60,1,43,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,3,45,27,11,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,34,5,NITROGEN,8200000,26,26,1,9,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,3,42,29,12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,34,5,PHOSPHATE,76400000,46,48,1,45,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,3,42,29,12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,34,5,POTASH,90500000,60,60,1,43,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,3,42,29,12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,27,5,NITROGEN,8200000,26,26,1,9,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,1,54,26,7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,27,5,PHOSPHATE,76400000,46,48,1,45,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,1,54,26,7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,27,5,POTASH,90500000,60,60,1,43,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,1,54,26,7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,37,5,NITROGEN,8200000,26,26,1,9,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,3,39,29,13,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,37,5,PHOSPHATE,76400000,46,48,1,45,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,3,39,29,13,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,37,5,POTASH,90500000,60,60,1,43,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,3,39,29,13,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,29,5,NITROGEN,8200000,26,26,1,9,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,4,45,27,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,29,5,PHOSPHATE,76400000,46,48,1,45,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,4,45,27,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,29,5,POTASH,90500000,60,60,1,43,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,4,45,27,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,38,5,NITROGEN,8200000,26,26,1,9,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,4,38,30,13,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,38,5,PHOSPHATE,76400000,46,48,1,45,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,4,38,30,13,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,38,5,POTASH,90500000,60,60,1,43,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,4,38,30,13,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,33,5,NITROGEN,8200000,26,26,1,9,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,4,44,27,11,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,33,5,PHOSPHATE,76400000,46,48,1,45,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,4,44,27,11,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,33,5,POTASH,90500000,60,60,1,43,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,4,44,27,11,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,36,5,NITROGEN,8200000,26,26,1,9,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,4,38,31,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,36,5,PHOSPHATE,76400000,46,48,1,45,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,4,38,31,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,36,5,POTASH,90500000,60,60,1,43,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,4,38,31,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,40,5,NITROGEN,8200000,26,26,1,9,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,2,41,27,12,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,40,5,PHOSPHATE,76400000,46,48,1,45,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,2,41,27,12,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,40,5,POTASH,90500000,60,60,1,43,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,2,41,27,12,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,41,5,NITROGEN,8200000,26,26,1,9,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,3,40,28,11,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,41,5,PHOSPHATE,76400000,46,48,1,45,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,3,40,28,11,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,41,5,POTASH,90500000,60,60,1,43,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,3,40,28,11,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,31,5,NITROGEN,8200000,26,26,1,9,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,4,45,29,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,31,5,PHOSPHATE,76400000,46,48,1,45,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,4,45,29,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,ARKANSAS,31,5,POTASH,90500000,60,60,1,43,14900000,301,49500,3600000,3650000,109800000,755424000,7.36,4,45,29,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5
1996,DELAWARE,NA,10,NA,NA,NA,NA,NA,NA,590000,211,2800,217000,220000,7595000,54684000,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
1996,FLORIDA,NA,12,NA,NA,NA,NA,NA,NA,10700000,238,45000,45000,47000,1125000,7875000,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
1996,GEORGIA,28,13,NA,NA,NA,NA,NA,NA,11400000,233,49000,380000,4e+05,7980000,53306000,6.87,4,47,38,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
1996,GEORGIA,41,13,NA,NA,NA,NA,NA,NA,11400000,233,49000,380000,4e+05,7980000,53306000,6.87,1,47,30,4,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
1996,GEORGIA,38,13,NA,NA,NA,NA,NA,NA,11400000,233,49000,380000,4e+05,7980000,53306000,6.87,NA,49,27,7,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
1996,GEORGIA,29,13,NA,NA,NA,NA,NA,NA,11400000,233,49000,380000,4e+05,7980000,53306000,6.87,2,48,37,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
1996,GEORGIA,40,13,NA,NA,NA,NA,NA,NA,11400000,233,49000,380000,4e+05,7980000,53306000,6.87,2,47,30,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
1996,GEORGIA,39,13,NA,NA,NA,NA,NA,NA,11400000,233,49000,380000,4e+05,7980000,53306000,6.87,2,52,29,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
1996,GEORGIA,32,13,NA,NA,NA,NA,NA,NA,11400000,233,49000,380000,4e+05,7980000,53306000,6.87,3,48,37,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
1996,GEORGIA,26,13,NA,NA,NA,NA,NA,NA,11400000,233,49000,380000,4e+05,7980000,53306000,6.87,1,64,28,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
1996,GEORGIA,27,13,NA,NA,NA,NA,NA,NA,11400000,233,49000,380000,4e+05,7980000,53306000,6.87,11,35,42,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
1996,GEORGIA,33,13,NA,NA,NA,NA,NA,NA,11400000,233,49000,380000,4e+05,7980000,53306000,6.87,1,55,30,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
1996,GEORGIA,30,13,NA,NA,NA,NA,NA,NA,11400000,233,49000,380000,4e+05,7980000,53306000,6.87,2,49,35,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
1996,GEORGIA,37,13,NA,NA,NA,NA,NA,NA,11400000,233,49000,380000,4e+05,7980000,53306000,6.87,1,52,25,4,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
1996,GEORGIA,34,13,NA,NA,NA,NA,NA,NA,11400000,233,49000,380000,4e+05,7980000,53306000,6.87,2,57,30,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
1996,GEORGIA,35,13,NA,NA,NA,NA,NA,NA,11400000,233,49000,380000,4e+05,7980000,53306000,6.87,2,55,29,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
1996,GEORGIA,31,13,NA,NA,NA,NA,NA,NA,11400000,233,49000,380000,4e+05,7980000,53306000,6.87,3,47,36,11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
1996,GEORGIA,36,13,NA,NA,NA,NA,NA,NA,11400000,233,49000,380000,4e+05,7980000,53306000,6.87,1,52,25,4,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
1996,ILLINOIS,27,17,PHOSPHATE,128300000,55,56,1,23,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,2,43,40,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
1996,ILLINOIS,27,17,POTASH,329600000,99,99,1,34,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,2,43,40,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
1996,ILLINOIS,27,17,NITROGEN,32400000,22,22,1,15,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,2,43,40,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
1996,ILLINOIS,28,17,PHOSPHATE,128300000,55,56,1,23,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,4,30,48,15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
1996,ILLINOIS,28,17,POTASH,329600000,99,99,1,34,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,4,30,48,15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
1996,ILLINOIS,28,17,NITROGEN,32400000,22,22,1,15,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,4,30,48,15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
1996,ILLINOIS,34,17,PHOSPHATE,128300000,55,56,1,23,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,7,33,39,16,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
1996,ILLINOIS,34,17,POTASH,329600000,99,99,1,34,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,7,33,39,16,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
1996,ILLINOIS,34,17,NITROGEN,32400000,22,22,1,15,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,7,33,39,16,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
1996,ILLINOIS,36,17,PHOSPHATE,128300000,55,56,1,23,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,7,35,37,17,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
1996,ILLINOIS,36,17,POTASH,329600000,99,99,1,34,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,7,35,37,17,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
1996,ILLINOIS,36,17,NITROGEN,32400000,22,22,1,15,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,7,35,37,17,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
1996,ILLINOIS,38,17,PHOSPHATE,128300000,55,56,1,23,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,6,33,42,15,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
1996,ILLINOIS,38,17,POTASH,329600000,99,99,1,34,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,6,33,42,15,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
1996,ILLINOIS,38,17,NITROGEN,32400000,22,22,1,15,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,6,33,42,15,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
1996,ILLINOIS,40,17,PHOSPHATE,128300000,55,56,1,23,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,5,36,40,13,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
1996,ILLINOIS,40,17,POTASH,329600000,99,99,1,34,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,5,36,40,13,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
1996,ILLINOIS,40,17,NITROGEN,32400000,22,22,1,15,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,5,36,40,13,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
1996,ILLINOIS,26,17,PHOSPHATE,128300000,55,56,1,23,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,1,41,43,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
1996,ILLINOIS,26,17,POTASH,329600000,99,99,1,34,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,1,41,43,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
1996,ILLINOIS,26,17,NITROGEN,32400000,22,22,1,15,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,1,41,43,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
1996,ILLINOIS,39,17,PHOSPHATE,128300000,55,56,1,23,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,5,36,40,13,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
1996,ILLINOIS,39,17,POTASH,329600000,99,99,1,34,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,5,36,40,13,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
1996,ILLINOIS,39,17,NITROGEN,32400000,22,22,1,15,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,5,36,40,13,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
1996,ILLINOIS,37,17,PHOSPHATE,128300000,55,56,1,23,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,6,31,41,18,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
1996,ILLINOIS,37,17,POTASH,329600000,99,99,1,34,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,6,31,41,18,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
1996,ILLINOIS,37,17,NITROGEN,32400000,22,22,1,15,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,6,31,41,18,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
1996,ILLINOIS,32,17,PHOSPHATE,128300000,55,56,1,23,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,4,34,41,15,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
1996,ILLINOIS,32,17,POTASH,329600000,99,99,1,34,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,4,34,41,15,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
1996,ILLINOIS,32,17,NITROGEN,32400000,22,22,1,15,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,4,34,41,15,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
1996,ILLINOIS,41,17,PHOSPHATE,128300000,55,56,1,23,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,5,36,40,13,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
1996,ILLINOIS,41,17,POTASH,329600000,99,99,1,34,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,5,36,40,13,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
1996,ILLINOIS,41,17,NITROGEN,32400000,22,22,1,15,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,5,36,40,13,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
1996,ILLINOIS,33,17,PHOSPHATE,128300000,55,56,1,23,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,6,30,42,20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
1996,ILLINOIS,33,17,POTASH,329600000,99,99,1,34,27900000,353,79000,9850000,9900000,398925000,3011884000,7.55,6,30,42,20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5
